기업명,비슷,성장,All,비슷,성장
한국방송통신대학교,93,2,95,0.978947368,0.021052632
아시아나아이디티(주),90,7,97,0.927835052,0.072164948
한국피자헛(유),220,20,240,0.916666667,0.083333333
(주)디지틀조선일보,93,9,102,0.911764706,0.088235294
(유)씨앤씨미술교육지원센터,55,6,61,0.901639344,0.098360656
케이비에스미디어(주),138,16,154,0.896103896,0.103896104
원앤원(주),42,5,47,0.893617021,0.106382979
조은시스템(주),184,22,206,0.893203883,0.106796117
이니텍(주),164,20,184,0.891304348,0.108695652
쌍용정보통신(주),97,12,109,0.889908257,0.110091743
한국아이비엠테크니컬솔루션(유),112,14,126,0.888888889,0.111111111
엔디에스(주),126,17,143,0.881118881,0.118881119
인디자인,22,3,25,0.88,0.12
케이씨씨정보통신(주),95,13,108,0.87962963,0.12037037
(주)애드캡슐소프트,114,16,130,0.876923077,0.123076923
(주)비트컴퓨터,114,17,131,0.870229008,0.129770992
에스케이네트웍스서비스(주),66,10,76,0.868421053,0.131578947
(주)아메바,174,27,201,0.865671642,0.134328358
영풍전자(주),199,32,231,0.861471861,0.138528139
(주)디비아이엔씨,97,16,113,0.85840708,0.14159292
포스텍(주),42,7,49,0.857142857,0.142857143
케이원정보통신(주),440,75,515,0.854368932,0.145631068
(주)위메이드,100,18,118,0.847457627,0.152542373
(주)신흥,141,26,167,0.844311377,0.155688623
코오롱베니트(주),143,27,170,0.841176471,0.158823529
포에버21리테일코리아(유),74,14,88,0.840909091,0.159090909
(주)바른컴퍼니,42,8,50,0.84,0.16
(주)케이티엠앤에스,240,46,286,0.839160839,0.160839161
신원(주),140,27,167,0.838323353,0.161676647
한국휴렛팩커드(유),105,21,126,0.833333333,0.166666667
(주)홈앤쇼핑,127,26,153,0.830065359,0.169934641
엘오케이(유),139,29,168,0.827380952,0.172619048
(주)디지털다임,132,28,160,0.825,0.175
엘브이엠에치코스메틱스(유),173,37,210,0.823809524,0.176190476
롯데정보통신(주),551,119,670,0.82238806,0.17761194
서진산업(주),205,45,250,0.82,0.18
이엘씨에이한국(유),272,62,334,0.814371257,0.185628743
(주)미래엔,117,27,144,0.8125,0.1875
오티스엘리베이터(유),141,33,174,0.810344828,0.189655172
(주)케이티디에스,305,74,379,0.80474934,0.19525066
미디어포스얼라이언스(주),36,9,45,0.8,0.2
한국아이비엠(주),355,92,447,0.794183445,0.205816555
신세계아이앤씨(주),158,42,200,0.79,0.21
(주)아이비케이시스템,135,36,171,0.789473684,0.210526316
(주)신한디에스,249,70,319,0.780564263,0.219435737
(주)지에스아이티엠,152,43,195,0.779487179,0.220512821
법무법인(유)율촌,113,32,145,0.779310345,0.220689655
금호산업(주),90,26,116,0.775862069,0.224137931
(주)레뷰코퍼레이션,72,21,93,0.774193548,0.225806452
(주)엘지씨엔에스,925,272,1197,0.772765246,0.227234754
지오시스(유),163,50,213,0.765258216,0.234741784
(주)미래아이엔씨,169,52,221,0.764705882,0.235294118
피에스앤마케팅(주),177,55,232,0.762931034,0.237068966
(주)코이스,78,25,103,0.757281553,0.242718447
루이비통코리아(유),139,45,184,0.755434783,0.244565217
대신정보통신(주),616,203,819,0.752136752,0.247863248
(주)한진,438,146,584,0.75,0.25
(주)이트라이브,60,21,81,0.740740741,0.259259259
디자인피버(주),91,33,124,0.733870968,0.266129032
잡코리아(유),200,78,278,0.71942446,0.28057554
콘티넨탈오토모티브일렉트로닉스(유),162,64,226,0.716814159,0.283185841
한국피앤지판매(유),124,49,173,0.716763006,0.283236994
에스엘이노베이션스(주),15,6,21,0.714285714,0.285714286
인지어스(유),132,55,187,0.705882353,0.294117647
한국오라클(유),150,63,213,0.704225352,0.295774648
(주)건영,14,6,20,0.7,0.3
메타넷글로벌(유),128,55,183,0.699453552,0.300546448
콘센트릭스서비스코리아(유),322,140,462,0.696969697,0.303030303
에스케이브로드밴드(주),142,62,204,0.696078431,0.303921569
한전케이디엔(주),420,190,610,0.68852459,0.31147541
부킹닷컴코리아(유),72,33,105,0.685714286,0.314285714
(주)엘지유플러스,1832,886,2718,0.674025018,0.325974982
켈리서비스(유),63,31,94,0.670212766,0.329787234
글로벌브랜드그룹코리아(유),24,12,36,0.666666667,0.333333333
새한항업(주),18,9,27,0.666666667,0.333333333
유니윌,4,2,6,0.666666667,0.333333333
(주)다우기술,259,136,395,0.655696203,0.344303797
아디다스코리아(유),120,65,185,0.648648649,0.351351351
펑타이그레이터차이나(유),174,98,272,0.639705882,0.360294118
에스케이오앤에스(주),157,90,247,0.63562753,0.36437247
에스케이(주),1416,828,2244,0.631016043,0.368983957
이케아코리아(유),195,123,318,0.613207547,0.386792453
(유)나이키코리아,169,111,280,0.603571429,0.396428571
(주)더존비즈온,423,288,711,0.594936709,0.405063291
(주)엔씨소프트,403,288,691,0.583212735,0.416787265
신세계(주),687,492,1179,0.582697201,0.417302799
온리정보통신(주),15,11,26,0.576923077,0.423076923
세일즈웍스 코리아(유),209,158,367,0.569482289,0.430517711
(주)스냅스,50,39,89,0.561797753,0.438202247
(주)모비데이즈,52,44,96,0.541666667,0.458333333
(주)하이브,42,37,79,0.53164557,0.46835443
현대자동차(주),1111,982,2093,0.530817009,0.469182991
한국마이크로소프트(유),202,182,384,0.526041667,0.473958333
한국엠에스디(유),68,65,133,0.511278195,0.488721805
(주)하이컨시,20,26,46,0.434782609,0.565217391
네이버(주),448,689,1137,0.394019349,0.605980651
구글코리아(유),32,122,154,0.207792208,0.792207792
