,date,title,contents
0,2021-08-13,"법 통과 임박하자..“보편적 결제, 왜 앱마켓만 안 되나” ITI코리아 항변","['권순엽 ITI코리아 대표\n[이데일리 이대호 기자] ‘구글갑질방지법(전기통신사업법 개정안)’의 국회 본회의 통과에 힘이 실리는 가운데 글로벌 IT 기업 이익단체인 정보기술산업협회(ITI) 코리아가 목소리를 냈다. 구글플레이 등 앱마켓 인앱결제 강제 방지 내용을 담은 법 개정안이 부당하다는 것이다.\n\nITI는 구글, 애플 등 전 세계 유력 정보통신기술(ICT) 기업들을 회원사로 둔 이익단체다.\n\n지난 5월 ITI코리아를 설립하고 권순엽 법무법인 광장 국제 변호사를 대표로 선임했다. 권 대표는 하나로텔레콤 대표를 역임했다.\n\n앞서 권순엽 ITI코리아 대표에 인앱결제 강제 방지에 대한 의견을 묻자 “밝힐 입장이 없다”며 말을 아낀 바 있다. 하지만 이달 중 국회 통과 가능성이 나오면서 태도가 바뀌었다.\n\n권 대표는 이데일리와 통화에서 앱마켓 인앱결제 도입을 막는 것이 “보편적인 결제방식을 막는 것”이라며 부당함을 주장했다. 미국 ITI와 논의를 거친 입장이라고 했다.\n\n그는 백화점과 앱마켓 결제를 비교했다. 백화점이 자사 결제 시스템을 이용하도록 하면서 수수료를 확보해 오프라인 사업장을 운영하듯이, 온라인 사업장을 운영하는 앱마켓도 마찬가지라는 것이다.\n\n자사 결제 시스템 안에서 소비자가 신용카드, 간편결제 등 다양한 결제 수단을 선택할 수 있는 것도 백화점과 앱마켓이 다를 바 없다는 입장이다.\n\n이 같은 논리라면, 앱마켓 뿐 아니라 판매자와 소비자를 연결하고 수수료를 받는 방식의 쇼핑몰 등 양면 시장을 제공한 모든 사업자를 대상으로 자사 시스템 결제 정책을 문제 삼을 수 있으나 앱마켓만 규제 논의가 이뤄지는 것에 대해서도 부당함을 제기했다.\n\n‘신용카드 등 결제사업자 수수료(2~5% 가량) 대비 앱마켓 수수료(30%)가 왜 이렇게 높냐’는 비판에 대해선 지급 결제와 플랫폼 운영 등 성격이 완전히 다른 수수료를 두고 직접 비교가 일어나는 것은 합리적이지 않다고 주장했다.\n\n권 대표는 “백화점과 같은 오프라인 플랫폼이나 오픈마켓 같은 온라인 플랫폼 사업 모두 입점 업체들에게 자신의 결제시스템을 사용해 결제를 하도록 하고 있는데, 왜 이 보편적인 결제방식이 앱마켓사업자의 경우에는 불공정행위가 되는지에 대해 의문이 있다”고 말했다.\n\nITI코리아는 앱 수수료 수준에 대한 비판은 수용할 수 있으나, 사업모델 자체를 금지하는 것은 부당하다고 보고 있다.\n\n그는 국회가 앱마켓 인앱결제 도입에 대해 불공정행위라고 전제하기에 앞서 공정거래위원회 조사 결과를 먼저 따져봐달라고 요청했다.\n\n권순엽 대표는 “전기통신사업법 개정안은 앱마켓사업자들의 인앱결제 방식이 거래상 우월한 지위를 남용한 불공정행위라는 전제에서 시작하고 있다”고 짚은 뒤 “먼저 앱마켓사업자의 인앱결제방식이 불공정행위인지 공정거래위원회 조사 결과를 받아 볼 필요가 있다고 생각한다”고 주장했다.']"
1,2021-08-13,"리니지 제친 '오딘', 7월 구글·애플·원스트어 게임 매출 모두 '1위'","[""© 뉴스1\n\n카카오게임즈의 '오딘: 발할라 라이징'이 지난달 '리니지' 형제를 제치고 구글과 애플, 원스토어에서 모두 매출 1위를 차지했다.\n\n모바일 앱마켓의 게임 랭킹 순위를 발표하는 아이지에이웍스의 빅데이터 분석 솔루션 모바일인덱스(MOBILEINDEX)에서 게임 매출을 기준으로 한 7월 모바일게임 랭킹 매출 집계 결과 오딘이 1위를 기록했다고 13일 밝혔다.\n\n카카오게임즈의 오딘이 출시하자마자 1위에 올라서면서 오랫동안 최상위를 지켜온 엔씨소프트의 '리니지M'과 '리니지2M'은 각각 2위와 3위로 순위가 하락했다. 넷마블의 '제2의 나라: Cross Worlds'는 전월 순위 3위에서 한 계단 떨어진 4위를 기록했다. 쿠카 게임즈의 '삼국지 전략판'은 원스토어 지난달 보다 3계단 상승한 5위를 차지했다.\n\n넥슨코리아의 '바람의 나라: 연'은 최근 대작게임들의 연이은 출시에도 불구하고 통합 랭킹 6위를 수성했다. 4399 코리아의 '기적의 검' 역시 전달과 동일하게 7위를 기록했다. '피파 온라인 4M'은 원스토어에서 지난달 보다 한 계단 올라 4위에 이름을 올렸고, 통합 랭킹으로는 전달 대비 2계단 상승해 9위를 기록했다.\n\n원스토어가 순위 상승에 결정적인 역할을 한 게임도 눈에 띈다. 킹스그룹의 모바일 전략 시뮬레이션 'S.O.S:스테이트 오브 서바이벌'은 원스토어에서 5위를 차지한 데 힘입어 통합 랭킹도 17위를 기록했다. 이유게임의 '천상나르샤'는 원스토어 순위가 전월 대비 28계단 오른 것을 발판으로 통합 랭킹에서 6월보다 45계단 상승한 18위를 기록했다.\n\n컴투스의 '컴투스프로야구2021'은 6월 출시 이후 원스토어에서 빠르게 순위가 올라 이번달에 23위를 차지했으며, 통합 랭킹도 5계단 오른 35위를 차지했다.\n\n\njdm@news1.kr""]"
2,2021-08-06,"구글 클라우드, SAP와 클라우드 협력 강화...'라이즈 위드 SAP' 참여","['[디지털투데이 황치규 기자]구글 클라우드가 SAP와 고객 비즈니스 혁신을 지원하기 위한 협력을 확대한다. ', '양사는 기업들이 중요 비즈니스 시스템을 클라우드로 이전하고 구글 클라우드가 제공하는 인공지능(AI)과 머신러닝(ML) 역량을 활용해 기존 시스템을 강화할 수 있도록 지원할 예정이다.', '구글 클라우드는 이번 파트너십 확대에 따라 라이즈 위드 SAP(RISE with SAP) 오퍼링(상품 제안) 에서 전략적 클라우드 파트너로 참여하게 됐다.', '라이즈 위드 SAP는 디지털 전환 모든 단계에서 고객이 더 나은 비즈니스 성과를 달성할 수 있도록 프로세스 재설계를 지원하는데 초점이 맞춰져 있다.', '구글 클라우드와 SAP는 고객 성공을 위해 파트너십을 지속적으로 확대할 계획이다. 양사는 2021년 라이즈 위드 SAP 프로그램을 통해 AES(AES Corporation), 에너자이저(Energizer), MSC 인더스트리얼(MSC Industrial) 등의 고객을 공동 유치했다.', '구글 클라우드 코리아는 오는 9월 8일 구글 클라우드 기반 SAP 환경에 대한 온라인 이벤트도 개최한다.\n ']"
3,2021-07-20,"구글 갑질 방지법, 국회 통과 9부능선 넘어…실효성은?","[""20일 오후 국회에서 열린 과학기술정보방송통신위원회 전체회의에서 이원욱 위원장이 의사봉을 두드리고 있다. 이날 국민의힘 의원들이 불참한 가운데 열린 전체회의에서 '인앱 결제' 강제 도입을 막는 이른바 '구글 갑질방지법'(전기통신사업법 개정안)이 통과됐다. 연합뉴스\n구글의 인앱결제 의무화 조처에 대한 전기통신사업법 개정이 9부 능선을 넘었다. 국회 다수당인 더불어민주당은 단독 처리도 불사한다는 입장인 터라 이르면 이달 말 국회 본회의 통과도 확실시된다. 구글의 인앱결제 의무화를 법으로 금지하는 세계 최초의 사례다. 구글이 예고한 대로 오는 10월부터 해당 조처를 강행할 경우 정부의 시정명령과 이행강제금 부과가 뒤따른다. 구글과 한국 정부 간의 전면적 법적 소송으로 이어질 공산이 있다는 얘기다.\n■ 구글갑질 방지법, 내용은? 20일 국회 과학기술정보방송통신위원회 전체회의를 통과한 ‘전기통신사업법’ 개정안의 핵심은 구글이 자사 앱 장터에 등록한 앱 개발사들이 대금 결제를 반드시 구글 프로그램을 쓰도록 한 조처를 금지하는 조항을 신설하는 것이다. 이 개정안이 ‘구글 갑질방지법’으로 불린 까닭이다.\n구체적으로 금지한 행위는 거래상 지위를 부당하게 이용해 앱마켓 사업자가 앱 개발사에 △특정한 결제방식을 강제하는 행위 △경쟁 앱마켓에 앱을 등록하지 못하도록 강요 및 유도하는 행위 △등록된 앱을 부당하게 삭제하는 행위 △앱 심사의 부당한 지연 행위 등이다. 다만 앱 개발사들이 국내 앱마켓에도 반드시 등록토록 하는 ‘동등접근권’ 도입은 하지 않기로 했다. 토종 앱마켓인 원스토어(통신 3사 공동 출자기업)에 특혜가 될 수 있다는 우려를 고려해서다.\n앱마켓 사업자의 금지 행위에 대한 판단과 조처 권한은 방송통신위원회가 갖는다. 방통위는 금지행위를 한 사업자에게 금지행위 중지를 명령할 수 있고 시정명령이 받아들여지지 않으면 매출액의 100분의3에 해당하는 이행강제금이나 과징금을 부과할 수 있다.\n국회 과방위의 핵심 관계자는 <한겨레>와 한 통화에서 “그동안 구글로부터 보이지 않는 압력을 상당히 많이 받았던 모바일 콘텐츠 사업자(앱 개발사)들이 보호를 받을 수 있는 길이 열린 것”이라고 말했다.\n■ 배경은?…독과점 기업의 무리수 법 개정 논의의 시작은 1년 전으로 거슬러 간다. 세계 앱마켓 시장을 애플과 함께 양분하고 있는 구글은 지난해 6월 게임 앱에만 적용되던 인앱 결제 의무화와 결제 금액의 30%를 받던 수수료 방침을 모든 앱으로 넓힌다고 밝혔다. 6개월에서 1년 정도 준비 기간을 뒀지만 구글의 새 방침에 대한 반발 여론은 미국은 물론 구글 앱장터를 활용하는 전 세계 개발사와 각국 정부로부터 터져나왔다. 독과점 사업자의 횡포라고 받아들인 것이다.\n미국 워싱턴DC 등 30개 주에서 구글을 상대로한 소송이 일었고 에픽게임즈·스포티파이 등 앱 개발사들은 ‘앱공정성연대’(CAF)를 결성해 공동행동에 나섰다. 국내에서도 여야 의원들은 국내 앱 개발사들의 불안을 반영해 지난해 7월부터 10월까지 불과 3개월 새 구글의 새 방침을 막기 위한 법 개정안 7개를 쏟아냈다. 지난해 11월 국내 앱 개발사들은 구글 방침이 불공정거래에 해당한다며 공정거래위원회에 신고하기도 했다.\n구글도 지난 1년 간 전 세계적인 반발을 의식해 한 발 물러서는 모습을 보였다. 지난해 11월 새 방침 적용 시점을 2021년 9월30일 이후로 한 차례 미룬 데 이어, 올해 들어서는 지난 3월 수수료율을 15%로 낮추는 방안을 내놨다. 최근에는 앱 개발사들이 코로나19 확산에 따른 어려움을 소명할 경우 새 방침 적용 시점을 내년 3월31일로 연기한다는 방침을 발표했다.\n■ 구글, 한국 정부와 전면전 벌일까? 법 개정이 되더라도 구글이 정책을 바뀌지 않는 이상 오는 10월로 예고된 인앱결제 의무화를 막기는 어려워 보인다. 방통위가 구글의 ‘거래상 우월적 지위’와 새 방침의 ‘부당성’ 등을 살펴야 하기 때문이다. 개정안과 하위 법령에는 구체적 부당성 요건도 정해져 있지 않다.\n방통위 관계자는 <한겨레>와 한 통화에서 “(개정안에 담긴) 문구(거래상 지위)는 우리가 넣은 게 아니다. 조승래·양정숙 의원이 발의한 법안에 그 표현이 있었고 그대로 (과방위 대안 법률안에) 반영됐다. 어떻게 적용할지는 앞으로 다각도로 검토할 예정”이라고만 말했다.\n10여년 동안 인앱결제 의무화는 물론 30% 수수료를 받아간 미 애플의 존재도 방통위로선 부담이다. ‘애플은 놔두고 구글만 때린다’는 논리적 모순을 극복해야 한다는 얘기다. 이에 대해서도 방통위는 뚜렷한 입장을 내놓지 못했다.\n이른 시일 내 방통위가 부당성 요건 작업 등을 끝낸다고 하더라도 구글은 행정 소송 등으로 맞대응 할 가능성이 있다. 구글 입장에선 새 방침 적용을 한국만 예외로 할 경우 미국 등 다른 국가에서 형평성 논란이 일 여지가 크기 때문이다. 이날 법안 처리와 관련해 구글코리아 쪽은 “공식적으로 밝힐 입장은 없다”고만 말했다.\n최민영 이재연 기자 mymy@hani.co.kr""]"
4,2021-07-19,구글 '통행세 강제' 반발에 시간끌기…이번엔 '6개월 연기' 카드(종합),"['© News1 DB\n\n구글이 오는 10월부터 적용할 예정이었던 \'인앱결제 강제 정책\' 시행을 6개월 연기하겠다고 발표했다.\n\n구글측은 전대미문의 코로나19 사태를 이번 연기 결정의 배경으로 언급했지만 구글 안드로이드 운영체제(OS)의 독점적 지위를 활용해 없던 수수료를 강제하자 \'홈그라운드\'인 미국은 물론, 전세계적인 반발 여론이 거세지면서 구글이 시간끌기에 나선 것으로 풀이된다. \n\n구글은 지난 16일(현지시간) 구글 안드로이드 개발자 블로그를 통해 인앱결제 정책 연장 옵션을 발표했다. 구글은 ""크고 작은 개발자로부터 인앱결제 정책에 대한 우려 사항을 전달받았다""며 ""인앱결제 적용을 6개월 미룰 수 있는 옵션을 제공하겠다""고 밝혔다. 옵션이 적용될 경우 인앱결제 수수료를 내년 3월31일까지 내지 않아도 된다.\n\n이번 연기 발표는 일괄적으로 자동 적용되는 것이 아니라 \'연장 옵션\' 형태로 제공된다. 개발사가 자발적으로 연장을 요청한 뒤 구글 측 검토를 통해 적용 여부를 확인받아야 하는 방식이다. 개발사가 조치에 나서지 않으면 예정대로 10월1일부터 인앱결제 수수료 정책이 적용된다는 얘기다.\n\n퍼니마 코치카 구글 플레이파트너십 부사장은 ""우리는 전 세계 개발자들로부터 지난해 어려움을 겪었다는 소식을 듣고 있다""며 ""특히 코로나19 팬데믹 영향으로 지역 엔지니어링 팀들이 지속해서 큰 타격을 입었다. 이 때문에 이번 정책(구글 인앱결제) 관련 기술 업데이트를 하는 게 더 어려워졌다""고 이번 발표 배경에 대해 설명했다. \n\n그러나 내용을 자세히 뜯어보면 개발사가 옵션을 선택해 구글 측에 요청해야 하고 또 연장 옵션 적용 여부에 대한 구글의 답변을 받아야 한다.\n\n구글은 오는 22일부터 개발자들이 고객센터(Help Center)를 통해 인앱결제 연장 옵션을 요청할 수 있으며 ""각 요청에 대한 검토 후 가능한 한 빠르게 답변을 주겠다""고 밝혔다.\n\n이에 대해 구글코리아 관계자는 <뉴스1>과의 통화에서 ""원하는 개발사가 연장 옵션을 신청하면 검토하는 시스템이며 그 이상은 말씀드리기 어렵다""고 말했다.\n\n앞서 구글은 지난해 9월28일 그동안 게임 앱에만 적용해왔던 인앱결제·30% 수수료 정책을 콘텐츠 앱 전반에 적용할 계획이라고 공식 발표했다. 앱 안에서 구글의 결제 시스템을 이용한 결제를 강제하고 이에 대한 수수료를 30% 떼어 가겠다는 내용이다.\n\n당초 신규 앱은 올해 1월, 기존 앱은 올해 10월부터 인앱결제 정책을 적용할 예정이었지만, 국내에서는 올해 9월30일까지 정책 적용이 유예됐다. 지난 3월에는 연 매출 100만달러 이하 구간에 대해선 15%만 수수료를 받겠다는 방침을 밝혔다. 지난달 24일에는 구글이 요구하는 프로그램에 참여하는 조건으로 디지털 콘텐츠에 대한 인앱결제 수수료를 15%로 낮추는 방안을 발표했다.\n\n한편, 국회 과학기술방통신위원회는 20일 안건조정위원회를 열고 구글 인앱결제 방지 관련 내용을 담은 \'전기통신사업법 개정안\'을 의결할 예정이다.\n\n\n\nKtiger@news1.kr']"
5,2021-07-19,"구글코리아 김태원 전무, 26일 정읍서 '창의적 관점이란' 특강","[""전북 정읍시는 구글코리아 김태원 전무를 초청해 ‘창의적인 관점, 무엇이 차이를 만드는가?’를 주제로 제96회 정향누리 정읍 단풍아카데미를 개최한다. © 뉴스1\n\n전북 정읍시가 '열정의 아이콘' 구글코리아 김태원 전무를 초청해 ‘창의적인 관점, 무엇이 차이를 만드는가?’를 주제로 제96회 정향누리 정읍 단풍아카데미를 개최한다.     \n\n26일 오후 7시 정읍사예술회관 공연장에서 진행되는 이번 특강은 청년들이 가장 만나고 싶어 하는 멘토이자 열정의 아이콘으로 통하는 구글코리아 김태원 전무가 강사로 나서 열강을 진행한다.    \n\n김태원 전무는 ‘TVN 스타특강쇼’와 ‘MBC 희망특강 파랑새’ 등 다수의 방송과 강연 활동을 통해 청년들에게 창의적인 관점의 중요성을 전파하고 있다.\n\n이번 강연에서는 발 빠르게 변화하고 있는 4차 산업혁명 시대에서 정해진 틀을 깨고 성공할 수 있는 창의적인 생각은 어디에서 나오는 것인지 시민들과 함께 이야기할 예정이다.   \n\n이번 특강은 코로나19 방역상황을 고려해 사전 예약을 통해 선착순 150명에 한해 진행된다.   \n\n사전 예약은 정읍시 홈페이지 통합예약시스템을 통하거나 정읍시청 총무과로 문의하면 된다.   \n\n시 관계자는 “이번 특강이 혁신에 혁신을 거듭하는 4차 산업혁명 시대에서 시민들이 변화에 발맞춰 한 걸음 더 성장할 수 있는 계기가 되길 희망한다”고 말했다.  \n\n한편, 정읍 단풍아카데미는 시민들에게 사회 각 분야 저명인사의 전문지식과 삶의 지혜를 전달하는 강연 프로그램으로 시민들에게 평생학습의 기회를 제공하고 시민의 행복 가치를 높이기 위해 진행되고 있다.\n\n\njcpark@news1.kr""]"
6,2021-08-06,구글 안드로이드OS건 최종심의 9월 1일로 결정,"['[비지니스코리아=허성수 기자] 공정거래위원회는 구글 안드로이드OS건에 대한 최종 심의 일을 9월 1일로 결정했다고 5일 밝혔다. ', '공정위는 지난 5월 12일과 7월 7일 이미 2차례 전원회의를 개최하고 구글이 모바일 OS(운영체제)와 안드로이드 앱마켓 시장에서의 지배적 지위를 남용해 경쟁사업자의 시장진입 방해 여부를 심의했으나 검토해야 할 쟁점이 많은 데다 구글에 충분한 방어권을 보장하기 위해 3차 전원회의를 9월 1일 열어 최종 결론을 내리겠다는 입장이다. ', '공정위는 그간 2차례 심의과정에서 관련시장의 범위, 경쟁제한 의도·목적의 유무, 경쟁제한효과 발생여부 등과 관련한 다수의 쟁점사항에 대해 구글 측과 심사관 측의 PT, 참고인(경제학자) 진술 및 위원 질의가 진행됐다고 밝혔다.', '기존 2차례 심의가 주로 모바일 분야를 중심으로 이루어졌다면, 향후 3차 심의는 스마트 시계, 스마트 TV 등 기타 스마트 기기분야의 시장획정 및 경쟁제한성 이슈 등이 중점적으로 논의될 예정이다.']"
7,2021-08-05,구글 OS 갑질 9월 결론…자체 보상 계획 없다,"['구글 CI.\n \n구글이 국내 스마트폰 제조사를 상대로 안드로이드 운영체제(OS) 선탑재를 강요한 것에 대해 다음 달 처벌 수위가 결정될 전망이다.\n \n공정거래위원회(이하 공정위)는 구글 OS 건의 3차 전원회의를 내달 1일 개최한다고 5일 밝혔다. 지난 5월 12일과 7월 7일 두 차례에 걸쳐 회의를 진행한 바 있다.\n \n공정위는 2016년부터 구글이 삼성전자 등 스마트폰 제조사에 자사 안드로이드 OS의 선탑재를 요구해 시장에서 독점적 지위를 구축했는지 조사를 펼쳐왔다.\n \n구글이 압도적인 시장 점유율을 앞세워 자체 OS 개발을 막았다는 게 공정위의 판단이다. 통계 사이트 스탯카운터에 따르면 올해 7월 기준 모바일 OS 가운데 안드로이드가 72.18%의 점유율로 1위를 기록했다. 애플 iOS는 26.96%로 집계됐다.\n \n공정위는 이번 건이 세계시장을 대상으로 장기간에 걸쳐 발생했고, 복잡한 쟁점이 많아 세 차례 심의를 걸쳐 결론을 내린다.\n \n구글이 공정위 결정에 앞서 자체 보상안을 내놓을 가능성은 희박하다.\n \n공정위 관계자는 ""3차 회의에서 구술심의는 끝난다. 이후 위원들이 의견을 주고받는데, 결정된 사항은 별도 보도자료로 공개할 계획""이라며 ""구글이 동의의결(자진시정안)을 신청하면 새로운 절차를 진행하겠지만, 의지가 없는 것으로 안다""고 했다.\n \n올 초 애플코리아는 이동통신 3사에 광고비와 수리비용을 떠넘긴 혐의로 공정위 조사를 받는 과정에서 동의의결에 합의했다. 제조업 연구·개발 및 수리 비용 할인 등 1000억원 규모의 상생지원안을 내놔 처벌을 면했다.\n \n정길준 기자 jeong.kiljhun@joongang.co.kr']"
8,2021-07-19,"구글코리아 김태원 전무, 26일 정읍서 '창의적 관점이란' 특강","[""전북 정읍시는 구글코리아 김태원 전무를 초청해 ‘창의적인 관점, 무엇이 차이를 만드는가?’를 주제로 제96회 정향누리 정읍 단풍아카데미를 개최한다. © 뉴스1\n\n전북 정읍시가 '열정의 아이콘' 구글코리아 김태원 전무를 초청해 ‘창의적인 관점, 무엇이 차이를 만드는가?’를 주제로 제96회 정향누리 정읍 단풍아카데미를 개최한다.     \n\n26일 오후 7시 정읍사예술회관 공연장에서 진행되는 이번 특강은 청년들이 가장 만나고 싶어 하는 멘토이자 열정의 아이콘으로 통하는 구글코리아 김태원 전무가 강사로 나서 열강을 진행한다.    \n\n김태원 전무는 ‘TVN 스타특강쇼’와 ‘MBC 희망특강 파랑새’ 등 다수의 방송과 강연 활동을 통해 청년들에게 창의적인 관점의 중요성을 전파하고 있다.\n\n이번 강연에서는 발 빠르게 변화하고 있는 4차 산업혁명 시대에서 정해진 틀을 깨고 성공할 수 있는 창의적인 생각은 어디에서 나오는 것인지 시민들과 함께 이야기할 예정이다.   \n\n이번 특강은 코로나19 방역상황을 고려해 사전 예약을 통해 선착순 150명에 한해 진행된다.   \n\n사전 예약은 정읍시 홈페이지 통합예약시스템을 통하거나 정읍시청 총무과로 문의하면 된다.   \n\n시 관계자는 “이번 특강이 혁신에 혁신을 거듭하는 4차 산업혁명 시대에서 시민들이 변화에 발맞춰 한 걸음 더 성장할 수 있는 계기가 되길 희망한다”고 말했다.  \n\n한편, 정읍 단풍아카데미는 시민들에게 사회 각 분야 저명인사의 전문지식과 삶의 지혜를 전달하는 강연 프로그램으로 시민들에게 평생학습의 기회를 제공하고 시민의 행복 가치를 높이기 위해 진행되고 있다.\n\n\njcpark@news1.kr""]"
9,2021-08-06,구글 안드로이드OS건 최종심의 9월 1일로 결정,"['[비지니스코리아=허성수 기자] 공정거래위원회는 구글 안드로이드OS건에 대한 최종 심의 일을 9월 1일로 결정했다고 5일 밝혔다. ', '공정위는 지난 5월 12일과 7월 7일 이미 2차례 전원회의를 개최하고 구글이 모바일 OS(운영체제)와 안드로이드 앱마켓 시장에서의 지배적 지위를 남용해 경쟁사업자의 시장진입 방해 여부를 심의했으나 검토해야 할 쟁점이 많은 데다 구글에 충분한 방어권을 보장하기 위해 3차 전원회의를 9월 1일 열어 최종 결론을 내리겠다는 입장이다. ', '공정위는 그간 2차례 심의과정에서 관련시장의 범위, 경쟁제한 의도·목적의 유무, 경쟁제한효과 발생여부 등과 관련한 다수의 쟁점사항에 대해 구글 측과 심사관 측의 PT, 참고인(경제학자) 진술 및 위원 질의가 진행됐다고 밝혔다.', '기존 2차례 심의가 주로 모바일 분야를 중심으로 이루어졌다면, 향후 3차 심의는 스마트 시계, 스마트 TV 등 기타 스마트 기기분야의 시장획정 및 경쟁제한성 이슈 등이 중점적으로 논의될 예정이다.']"
