,date,title,contents
0,2021-08-10,"네이버, '카페24' 지분 14.99% 인수","['네이버가 카페24 지분 14.99%를 인수한다. \n10일 금융감독원 전자공시시스템에 따르면, 카페24가 네이버에 자기 주식 332만1169주(지분율 14.99%)를 양도한다고 이날 공시했다. 금액으로는 약 1371억원으로, 자기 자본 대비 86.02%에 해당하는 규모이다.\n회사 측은 ""카페24-네이버간 플랫폼 연동 강화, 글로벌 전자상거래 진출 협력, 온라인 사업자 대상 마케팅ㆍ 물류를 포함한 서비스 및 솔루션 지원 확대 등의 사업 협력을 위한 당사와 네이버(주)의 상호간 주식교환""이라고 설명했다. \n이는 카페24가 네이버에 신주를 발행하는 유상증자 방식으로,  네이버(주)는 자기주식을 카페24에 현물 출자하고, 카페24는 현물 출자에 대한 대가로 네이버(주)에 신주 발행한다. ']"
1,2021-08-02,네이버… 상반기에만 43개 논문 채택,"['[비지니스코리아=김은진 기자] 네이버가 압도적인 AI 연구 역량을 또 한번 입증했다.', '네이버(주)는 CVPR, ACL, AAAI, ICLR 등 세계적인 AI 학회에서 올해 총 51건의 정규 논문이 채택됐다고 밝혔다. 그 중 상반기에만 무려 43건의 논문이 채택돼, 작년 한 해 논문 발표 기록을 반 년만에 따라잡는 쾌거를 이뤘다. 네이버는 매년 AI 논문 발표 실적을 갱신하며, 국내 최고를 넘어 글로벌 AI 기업으로 자리매김하고 있다.', '컴퓨터비전, 자연어처리, 딥러닝, 음성기술 등 논문 분야도 다양하다. 특히, 음성 분야의 최고 학회인 ICASSP와 Interspeech에서는 각각 9개의 논문이 채택되는 성과를 거뒀다. 가장 최근에는 최고 권위의 컴퓨터비전 학회인 ICCV에서 8개의 논문의 발표가 확정돼, 비전 분야에서의 기술력을 인정받기도 했다. 이 밖에도 CHI, NAACL, ICML, KDD 등 다수 학회에서 논문을 발표했거나 발표할 예정이다.', ""특히, 학회에 채택된 논문 중 40% 이상은 네이버의 실제 서비스에 다양하게 적용돼, 사용자 경험을 높이는데도 크게 기여했다. ICASSP에서 발표한 화자인식 기술 연구 결과는 '클로바 노트'의 참석자별 발화 인식을 고도화하는 데 활용됐으며, CVPR에서 발표한 이미지인식 모델 '렉스넷(RexNet)'과 ICLR에서 발표한 딥러닝 최적화 기법 '아담P(AdamP)'는 음란물을 필터링하는 '엑스아이(X-eye) 2.0'의 핵심 기술이다. 이 밖에도 '클로바 더빙', '클로바 포캐스트', '클로바 케어콜' 등 다양한 서비스 및 솔루션에 AI 연구 결과가 접목됐다."", '이처럼 괄목할만한 연구 성과는 네이버의 AI 기술에 대한 방대한 투자와 더불어, 국내 및 해외의 연구 기관들과 적극적인 산학협력을 이어온 결과다. 네이버는 연세대, 고려대, GIST, 인하대, UNIST 등 국내 유수의 대학들과 AI 연구를 위해 협업해왔으며, 서울대, 카이스트와는 각각 100여명 규모의 공동연구센터를 설립하고, 차세대 AI 연구를 위해 밀착 협력한다. 해외에서도 베트남의 HUST, PTIT와 공동연구센터를 세우고, 최근에는 독일의 튀빙겐 대학과 ‘신뢰 가능한 AI’ 연구를 위해 MOU를 맺는 등 글로벌 AI R&D 생태계를 계속 확장해가고 있다. 실제로, 올해 채택된 51개 논문 중 21개는 산학협력을 통한 공동 연구의 결과물이다.', ""네이버는 뉴욕대 조경현 교수, 옥스퍼드대 앤드류 지서만(Andrew Zisserman) 교수, 카네기멜론대 주준얀(Jun-Yan Zhu) 교수 등 AI 각 분야의 최고 권위자들과도 활발히 협력하고 있다. 옥스퍼드대 연구진과는 영화 속 화자 음성인식 고도화에 대한 연구를 진행해 올해 ICASSP에서 발표했으며, 이달 열릴 ACL에서는 GPT-3의 기반 기술인 '트랜스포머' 모델의 효율성을 강화하는 방법에 대해 조경현 교수와 네이버 AI랩의 김규완 연구원이 공동 연구한 결과를 발표할 예정이다."", '네이버는 앞으로도 학계와의 협력을 활발히 이어가는 한편, ‘초대규모 AI’ 기술을 중심으로 AI 연구를 더욱 가속화한다는 계획이다. 네이버는 지난 5월 전세계 최초로 한국어 초대규모 AI ‘하이퍼클로바’를 공개하고, 검색어 교정, 쇼핑 기획전 생성, 쇼핑 리뷰 요약 등 네이버 서비스 곳곳에 ‘하이퍼클로바’를 상용화하고 있다. ‘노 코드 AI’ 도구인 ‘하이퍼클로바 스튜디오’도 개발돼 사내 베타테스트를 시작한 상태다.', '하정우 네이버 AI랩 소장은 “네이버의 AI 연구는 학술적인 기여에 그치지 않고, 실제 서비스에 녹아들어가 사용자 가치로 이어진다는 것이 차별점”이라면서, “글로벌 기술 경쟁이 갈수록 치열해지는 가운데, 선두 AI 기업으로서 깊이 있는 중장기 선행 연구를 통해 글로벌 AI 경쟁력을 확보하고, 국내 AI 기술 생태계를 더욱 단단히 구축하는데 힘쓸 것”이라고 밝혔다. ']"
2,2021-07-27,"네이버, “특별근로감독 결과 추후 소명할 것”","['[e대한경제=박흥순 기자] 고용노동부가 27일 네이버 특별 관리감독 결과를 발표한 가운데 네이버가 해당 결과에 대한 입장을 밝혔다.\n\n네이버가 27일 고용노동부의 특별근로감독 결과에 대해 입장문을 냈다. 사진은 경기 성남시에 위치한 네이버 사옥. [연합뉴스]\n\n네이버는 입장자료를 통해 “책임을 통감한다. 다시는 이런 일이 발생하지 않도록 총체적인 변화를 준비하고있다”면서도 “몇가지 지적사항에 대해서는 추가 설명이 필요하다”고 밝혔다.\n\n우선 네이버는 그동안 직장 내 괴롭힘 신고 및 다수 채널을 통해 회사에 신고된 건에 대해서는 신고자와 피해자의 의견을 들어 가능한 조치를 취했다고 밝혔다.\n\n그러면서 “네이버 경영진이 직장 내 괴롭힘 사실을 사전에 인지하고서도 조사진행이나 별도의 조치를 취하지 않았다거나 신고자에 불리한 처우를 했다는 내용은 사실과 다르다”며 향후 조사과정에서 추가 소명하겠다고 해명했다.\n\n연장근로를 강제하거나 직원들의 휴게시간에 회사가 개입했다는 내용에 대해서는 “네이버는 주 40시간 미만 근무자에 대해서도 별도의 급여 차감을 진행하지 않고 있으며 연장 근로자에게 수당을 미지급한 경우는 없다”며 “직원들의 휴게시설 이용 과정에서도 회사는 어떤 개입이나 확인 절차를 거치지 않는다”고 밝혔다.\n\n특별근로감독 결과에 대해 아쉬움도 토로했다. 네이버는 “이번 특별근로감독 결과는 네이버만의 선택적 근로시간제를 정확히 반영하지 못했다”며 “향후 조사과정에서 사실에 입각해 성실하게 소명할 예정”이라고 강조했다.\n\n박흥순기자 soonn@\n\n〈ⓒ e대한경제신문(www.dnews.co.kr), 무단전재 및 수집, 재배포금지〉']"
3,2021-06-06,카카오 이어 네이버도 주 52시간 위반 정황,"[""한성숙 네이버 대표.\n카카오에 이어 네이버도 법정 노동시간 한도 초과 등 근로기준법을 위반했다는 조사 결과가 나왔다.\n\n네이버 노동조합 '공동성명'은 최근 노비즈·포레스트·튠 등 3개 사내독립기업(CIC) 소속 조합원을 대상으로 조사한 결과 응답자의 10%가 주 52시간을 초과해 일했다고 6일 밝혔다.\n\n현행 근로기준법은 법정 근로시간을 초과하면 사업주는 2년 이하의 징역 또는 2000만원 이하 벌금에 처한다. 노조에 따르면 네이버는 사내 근태 관리 시스템에 근무 시간을 실제보다 적게 입력하고 휴게 시간은 더 늘려 잡은 것으로 알려졌다.\n\n또 법정 근로시간이 다 차서 자동으로 생성된 임시 휴무일에도 일을 하는 등 네이버 직원들은 주 52시간을 넘겼다는 증거를 남기지 못한 것으로 조사됐다. 대체로 긴급 장애 대응이나 서비스 출시 임박 등 개인이 업무를 거부할 수 없는 상황이었다는 게 노조 측 설명이다.\n\nCIC는 네이버가 운영하는 제도로, 회사 내부에서 성장 가능성이 큰 사업 부문을 골라 마치 독립된 회사처럼 인사·재무 등 운영 자율성을 준다. 광고 부문 사업을 담당하는 비즈 CIC의 경우 최근 직원 사망 사건으로 직무 정지된 최인혁 최고운영책임자(COO)가 대표를 맡고 있다.\n\n네이버 노조는 이번 조사 결과를 바탕으로 사용자 측에 근무 시스템 개선 및 보호를 위한 적극적인 노력을 공식적으로 요구했다. 지난달 25일 사망한 네이버 직원 A씨는 평소 업무상 스트레스를 받았다는 내용이 담긴 메모를 남긴 것으로 알려졌다.\n\n네이버 노조는 오는 7일 기자회견을 통해 자체 중간 조사 결과를 발표하고 중부지방고용노동청 성남지청에 특별근로감독 진정을 제출할 계획이다.\n\n앞서 카카오도 근로기준법을 다수 위반한 것으로 나타났다. 주요 위반 사항은 주 52시간 이상 근무를 비롯해 임산부 시간외 근무, 연장근무 시간을 기록하지 못하게 강요, 퇴직자에게 연장근무 수당 등을 지연 지급, 최저임금 주지의무 위반 등 이다.\n\n박경보 기자 pkb@""]"
4,2021-06-02,"네이버, '네이버플러스 멤버십 with 패밀리' 출시 예정","[""[비지니스코리아=김은진 기자] 네이버(주)의 멤버십 프로그램 '네이버플러스 멤버십'이 한층 더 강해진다. 멤버십 회원에게 최대 5%의 적립 혜택을 제공해 인기가 높은 네이버플러스 멤버십의 혜택을 가족이나 지인(본인 포함 4명)과 함께 누릴 수 있는 '네이버플러스 멤버십 With 패밀리'가 8일 출시될 예정이다."", '‘With 패밀리’는 최대 3명까지 내 멤버십 구성원으로 추가해 적립 혜택과 디지털 콘텐츠 혜택을 함께 누릴 수 있게 하는 사용자 친화적 기능이다. 네이버플러스 멤버십의 ‘기능’으로 출시되는 만큼, ‘멤버십 My 페이지’에서 간단히 설정해 활용할 수 있다. 구성원은 멤버십 가입자 본인과 동일한 ‘최대 5%적립 혜택’을 누릴 수 있게 된다.\n[참고] 멤버십 회원은 쇼핑, 예약 등 네이버 서비스에서 네이버페이로 결제 시 월간 구매금액에 따라 최대 5%적립(월간 구매금액 20만원까지 5%, 이후 2% 적립)이 가능하고, ‘With 패밀리’ 기능을 통해서는 멤버십 구성원 합계 구매금액 20만원까지 5%가 적립된다. 이후에는 2%가 적립된다. ', '네이버플러스 멤버십은 월간 4,900원으로, 그간 이용자들 사이에서 ‘네이버에서 매달 10만원 이상 결제하는 사용자라면 가입하는 게 무조건 이득’이라는 혜택 분석과 함께 많은 인기를 얻어왔다. 지난 1월에는 연 4만 6,800원(월 3,900원 수준)으로 사용 가능한 연간 멤버십을 출시하며, 정기적으로 8만원 이상 결제하는 사용자까지 혜택의 범위를 한층 확장한 바 있다.\n \n이에 더해, ‘With 패밀리’ 기능은 내가 쇼핑을 하지 않을 때에도 가족 등 다른 멤버십 구성원이 혜택을 누릴 수 있도록 해 사용자의 체감 혜택과 만족도를 모두 한 단계 높일 예정이다.', '네이버플러스 멤버십의 디지털 콘텐츠 혜택은 구성원 중 한 명을 지정해 활용케 할 수 있다. 디지털 콘텐츠를 즐기지 않는 회원이라면 다른 멤버십 구성원에게 혜택을 제공하는 등 유기적으로 멤버십을 활용할 수 있어, 가족 내 여러 명이 멤버십에 가입해야 하는 ‘중복구독’의 부담도 경감할 것으로 기대된다. 혜택으로 즐기고 싶은 콘텐츠의 종류나 지정 구성원은 매달 변경할 수도 있다. \n[참고2] 네이버플러스 멤버십의 디지털콘텐츠 혜택으로 ▲티빙 방송 무제한 이용권 ▲웹툰/시리즈 쿠키 49개, ▲시리즈온 영화 1편 무료 쿠폰, ▲콘텐츠 체험팩 중 한 가지를 선택해 이용할 수 있다. ', '한편, 네이버플러스 멤버십은 45만 스마트스토어 SME와 함께 구축한 최대규모의 상품군과 네이버 주문, 예약 등 네이버 플랫폼에서 적립 가능한 혜택을 강점으로 큰 호응을 얻고 있다. 또한, 네이버는 대한항공, 신세계 등 국내 유수 기업과의 전략적 협업 시에도 멤버십 제휴를 논의하는 등 멤버십 회원을 위한 혜택과 구성을 꾸준히 확대해 갈 계획이다. ']"
5,2021-05-03,"부산교육청, 네이버와 미래형 학습 시스템 도입 위한 업무 협약","['부산광역시교육청(교육감 김석준)은 최근 시교육청 전략회의실에서 네이버(주)(대표 한성숙)와 ‘미래형 학습 시스템 도입을 위한 업무 협약’을 체결했다. 이날 김석준(오른쪽) 교육감과 김효(왼쪽) 네이버 웨일 책임리더 등이 참석했다.', '이번 협약을 통해 지난해 10월 자체 개발한 교육용 플랫폼 ‘부산에듀원’에 네이버의 웨일 스페이스 플랫폼을 보완해 사용하게 한다. 특히, 웨일 스페이스는 화상회의 솔루션인 웨일온을 지원함으로써 학교 현장에서 많이 활용하고 있는 줌(ZOOM) 프로그램의 유료화의 대안으로서도 권장할 만한 실시간 쌍방향 수업도구이다.', '김석준 교육감은 “우리 교육청의 역점사업으로 추진 중인 부산형 블렌디드 러닝과 원격수업 운영을 위해서는 교육용 플랫폼의 활용이 매우 중요하다”며 “네이버 웨일 스페이스를 포함한 다양한 교육용 플랫폼의 특징을 학교에 안내해 적절히 활용할 수 있도록 하겠다”고 말했다.', '임원철 선임기자 wclim@busan.com']"
6,2021-04-28,"국내 최대 규모 5500억 VC펀드 결성 눈앞, 국민연금·산은·네이버 출자","['[아시아경제 박소연 기자] 벤처캐피털(VC)인 에이티넘인베스트먼트가 선보인 국내 최대 규모(5500억원) 펀드에 국민연금, 산업은행, 네이버㈜ 등 주요 투자자들이 출자를 확정했다.', ""28일 투자은행(IB) 업계에 따르면 에이티넘인베스트먼트는 오는 5월내 5500억원 규모의 '에이티넘성장투자조합2020' 결성을 마무리할 예정이다. 에이티넘은 이미 1·2차 자금 모집을 통해 4670억원을 끌어모았다."", '1차 모집을 통해 국민연금공단이 1000억원, 한국산업은행 619억원, 공무원연금공단 200억원, 경찰공제회 200억원, 삼성화재해상보험 200억원, 노란우산공제회 200억원, 산재보험기금 150억원, 한국통신사업자연합회 KIF투자조합 120억원, 과학기술인공제회 100억원, 수협중앙회 100억원, 대한예장총회연금재단 100억원, 네이버(주) 외 3개 기관이 180억원을 출자하기로 했다.', '이어서 2차 모집을 통해 우정사업본부 300억원, 교직원공제회 250억원, 사학연금 200억원, 행정공제회 200억원, DB손해보험 외 1개 기관이 150억원의 출자를 확정했다.', '에이티넘인베스트먼트는 3차 모집을 통해 농협중앙회, NH농협은행, 현대해상화재보험, KB국민은행, 건설근로자공제회, 한국증권금융 등에 출자 제안한 것으로 알려졌으며, 다음 달 펀드 출자자 모집을 마무리할 계획이다.', ""이번 펀드의 콘셉트는 '스케일업'이다. 산업 분야를 가리지 않고 잠재력이 뛰어난 초기부터 상장 전 투자(프리 IPO) 단계까지의 기업을 모두 담을 예정이다. 에이티넘인베스트먼트는 기업의 성장 속도에 맞게 후속 투자를 하기 위해 초대형 펀드를 운용하는 전략을 구사하고 있다."", '산업별 포트폴리오는 딥테크(인공지능, 빅데이터, 클라우드) 분야 15~20%, 스마트 제조(반도체, 미래차, 로봇) 10~15%, 혁신서비스·플랫폼 35~45%, 바이오·헬스케어 20~30% 등이다. 성장 단계별로는 초기단계 20%(건당 20억 내외), 1차 성장단계 40%(건당 50억 내외), 2차 성장단계 40%(건당 100억원 내외) 등으로 투자 예정이다.', '목표수익률은 IRR(내부수익률) 15%다. 존속 기간은 결성일로부터 8년이며 분할납입 방식이다. 핵심운용 인력은 신기천 에이티넘인베스트먼트 대표, 황창석 사장, 맹두진 부사장, 김제욱 전무 등이다.', ""에이티넘인베스트먼트(옛 한미창업투자)는 '원펀드 (One-Fund)' 전략으로 유명한 벤처캐피탈로 국내 펀드 대형화에 물꼬를 텄다. 하나의 펀드에 투자 역량을 집중시키는 자산 운용 전략을 펼치고 있다."", '1988년 설립 이후 25개 조합 결성했고 22개의 조합을 성공적으로 해산했다. 현재 4개 펀드를 통해 1조1199억원의 자산을 운용하고 있다. 임직원수는 29명, 운용인력은 18명이다.', '<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제(www.asiae.co.kr) 무단전재 배포금지>']"
7,2021-03-19,구미 형곡고 네이버 웨일팀과 미래형 교수학습시스템 가동,"['경북 구미의 형곡고와 네이버(주)는 최근 경기도 분당 네이버 그린팩토리에서 ‘네이버 웨일 스페이스’ 플랫폼을 활용한 미래형 교수학습 시스템 지원 및 활용에 관한 업무협약을 체결했다고 19일 밝혔다.', '웨일 스페이스는 통합계정으로 수업도구, 공동작업, 학생관리 등의 교육서비스를 연결하는 교육플랫폼이다.', '형곡고와 네이버 웨일팀은 신종 코로나바이러스 감염증(코로나19) 이후에도 교육현장에서 적용가능한 미래형 온·오프라인 교육모델을 발굴하고, 개발팀과의 연수 등을 통해 ‘상호작용이 있는 학생중심의 수업 구현’을 목표로 중장기 지원 및 발전방향을 공유할 계획이다.', '양 측은 감염병이 지속되고 있는 상황에서 국내 교육·협업 시장 기회를 노리는 다국적 IT 기업 자본에 의해 교육권이 종속될 우려를 해소하고, 안정적인 교육 시스템 구축과 국내 교육 실정에 더 나은 선택이라는 확신으로 이번 협약을 추진했다.', '네이버 웨일 스페이스는 기존의 교육솔루션들이 갖고 있던 불편함을 해소하기 위해 사용자들의 요구사항을 반영한 국내 최적화된 K-에듀테크 서비스로서 비대면 수업이 일상화된 상황 속에서 보다 많은 학생들이 활용할 것으로 보인다.', '형곡고는 이번 MOU로 디지털 역량을 갖춘 비대면 수업환경을 구현하게 되었으며, 향후 네이버에서 추가로 지원하는 AI교육 솔루션을 활용해 경북교육청의 중책 사업인 에듀테크 기반의 교육혁신을 추진키로 했다.', '이우식 형곡고 교장은 ""네이버측과 협약을 통해 학교교육에 인공지능 플랫폼과 온·오프 혼합 블런디스 수업을 교육현장에 안착시켜 미래형 교육 공간이 되도록 최선의 노력을 다할 것""이라고 말했다.', '한편 형곡고는 이달 개학 후부터 ‘네이버 웨일 스페이스’ 플랫폼을 이용해 실시간 쌍방향 수업을 실시하고 있다. 또 25일 학부모를 대상으로 실시되는 학교설명회도 ‘프리즘 라이브 방송’을 이용해 실시간으로 진행하고, 담임교사와 학부모와의 간담회도 네이버 웨일온을 이용하여 실시간 쌍방향으로 진행할 예정이다.']"
8,2021-03-01,"""日 넘어 亞 노린다"" 네이버 이해진의 'A홀딩스' 3.1절에 띄웠다","['네이버의 일본 자회사 라인과 소프트뱅크 자회사 야후재팬이 1일, 경영통합을 마무리하고 A홀딩스를 출범시켰다. A홀딩스는 ▲A-to-Z ▲인공지능(AI) ▲아시아(Asia)라는 의미가 담겨있다. 아시아 최고의 인터넷 기업으로 자리하겠다는 이해진 네이버 창업주의 의지가 담겼다. ', '이날 네이버(라인의 모회사)와 소프트뱅크(야후재팬을 운영하는 Z홀딩스의 모회사)는 라인과 Z홀딩스의 경영통합(신생 Z홀딩스)을 완료, 그 지주사인 A홀딩스를 출범시켰다. 이날 일본 주요 언론은 양사의 경영통합 완료를 보도하며 라인과 야후재팬 서비스 통합 효과를 기대하는 모습이다. ', 'A홀딩스 지분은 소프트뱅크와 네이버가 각각 50% 나눠갖기로 했다. A홀딩스가 Z홀딩스의 지분 65%를 보유한 지주회사 역할을 맡게 된다. 중간지주사 격인 Z홀딩스 밑에 라인과 야후재팬이 각각 100% 자회사가 되는 구조다.', '초대 대표는 네이버 창업자인 이해진 네이버 글로벌투자책임자(GIO)와 미야우치 켄 소프트뱅크 최고경영자(CEO)가 공동으로 맡는다. 두 사람은 오는 2일자로 공동 대표에 취임한다. A홀딩스 이사회는 이해진 대표, 미야우치 켄 소프트뱅크 CEO, 황인준 라인 최고재무책임자(CFO), 후지하라 가즈히코 소프트뱅크 CFO, 코시바 미츠 노부 JSR코퍼레이션 이사회 의장(사외이사)으로 구성됐다. 의장직은 미야우치 켄 CEO가 맡는다. ', '소프트뱅크 관계자는 ""A to Z라는 영어 표현의 의미 그대로, 그룹 전체에서 시너지를 창출하겠다는 의미와 기업 전체가 AI를 활용하는 비즈니스 영역에 집중하겠다는 의미, 사업을 아시아를 대상으로 전개하고 향후 전 세계로 사업을 확대할 계획을 담고있다""고 설명했다.', '한편 네이버는 주중 사내 간담회를 개최, 이해진 GIO가 직접 나서 네이버의 글로벌 도전 전략에 대해 밝힐 예정이다. ', '이수호 기자 lsh5998688@techm.kr']"
9,2021-01-28,"네이버, 연 매출 5조3041억 21% ↑…코로나 여파, 검색·커머스 `급성장`","['네이버 4분기 및 지난해 실적.\n\n네이버는 지난해 연결 기준 매출 5조3041억원, 영업이익 1조2153억원을 기록했다고 28일 공시했다. 이는 전년 동기 대비 각각 21.8%와 5.2% 증가한 수치이다. 코로나19에 따른 언택트(비대면) 서비스의 수요가 늘어나면서 검색, 쇼핑, 페이서비스, 클라우드 등 전 영역이 고루 성장한 데 따른 것이다.\n\n지난해 4분기 매출은 1조5126억원, 영업이익은 3328억원으로 전년 동기보다 각각 28.3%, 17.6% 늘었다. 세부적으로 살펴보면 4분기 사업 부문별 영업수익은 서치플랫폼 7702억원, 커머스 3168억원, 핀테크 2011억원, 콘텐츠 1389억원, 클라우드 856억원이다.\n\n네이버의 주 수입원인 검색 등이 포함된 서치플랫폼은 디스플레이의 성장으로 전분기 대비 8.5% 성장한 7702억원을 기록했다. 서치플랫폼 부문의 연간 수익은 2조 8031억원으로 전년 대비 5.6% 성장했다.\n\n쇼핑, 중개수수료, 멤버십 등이 포함된 커머스는 스타트제로수수료, 성장 단계별 마케팅 포인트 지원, 비대면 디지털 전환 교육 프로그램 확대 등의 노력으로 SME(중소상공인)들이 디지털 환경에 안착하고 빠르게 성장함에 따라, 전분기 대비 11.0% 성장한 3168억 원을 기록했다. 커머스 부문의 연간 수익은 전년 대비 37.6% 성장한 1조 897억 원이다. 규모있는 판매 및 마케팅에 매우 효과적인 쇼핑라이브를 도입하고, 관련 교육과 라이브 인프라를 무상으로 지원하는 등 다양한 지원책을 통해 SME들이 빠르게 성장할 수 있도록 지원하고 있다는 것이 회사 측의 설명이다.\n\n페이서비스, 디지털금융이 포함된 핀테크는 스마트스토어의 성장과 외부제휴처 확대에 따른 네이버페이의 성장에 힘입어 전분기 대비 15.6% 성장한 2011억원을 기록했다. 핀테크 부문의 연간 수익은 전년 대비 66.6% 성장한 6775억 원을 기록했다. 스마트스토어 사업자 대출을 통해 금융 이력 없는 씬파일러 및 SME들을 위한 핀테크를 본격화한 네이버파이낸셜은 전세계에서 가장 빠른 정산 서비스를 출시하며 SME들의 사업 운영을 지원하고 있다. 네이버 측의 설명이다.\n\n웹툰 등이 포함된 콘텐츠는 웹툰의 글로벌 성장에 힘입어 전분기 대비로는 20.9% 성장한 1389억 원을 기록했다. 콘텐츠 부문의 연간 수익은 4602억 원으로 전년 대비 48.8% 성장했다. 네이버는 왓패드 인수와 함께 YG, SM엔터테인먼트에 이어 빅히트와의 협력을 강화하며 콘텐츠 분야에서의 글로벌 경쟁력을 더욱 높여 나갈 계획이다.\n\n클라우드는 클라우드 수요 확대 및 라인웍스의 글로벌 성장에 힘입어 전분기 대비 12.2% 성장한 856억 원을 기록했다. 클라우드 부문의 연간 수익은 전년 대비 41.4% 성장한 2737억 원을 기록했다.\n\n한성숙 네이버 대표는 ""코로나19 위기 속 네이버의 기술과 서비스를 활용해 일상의 단절로 인한 이용자들의 어려움을 해결하고, 개인 창작자, SME들과 함께 의미 있는 성장을 실현한 한 해였다""며 ""SME와 창작자들의 디지털 경쟁력을 높이는 첨단 기술 기반의 스마트 도구를 개발하는 데 집중된 연간 25% 규모의 R&D 투자를 더욱 높여가는 등 적극적인 연구개발, M&A(인수합병), 제휴를 통해 네이버가 아우르는 생태계를 확장하고, 사용자·SME·창작자들과 함께 성장해 나가기 위해 끊임없이 도전하겠다""고 말했다.황병서기자 BShwang@dt.co.kr\n\n\n출처 : 네이버 실적 자료\n\n\n출처 : 네이버 실적 자료\n\n\n출처 : 네이버 실적 자료\n\n\n출처 : 네이버 실적 자료\n\n\n\n\n\n\n[저작권자 ⓒ디지털타임스 무단 전재-재배포 금지]']"
