,date,title,contents
0,2020-12-30,[인사] 디지틀조선일보,"['◇디지틀조선일보 <승진(국장)>△콘텐츠아카이브실 부실장 겸 인물콘텐츠팀장 국장대우 오현기 <승진(부국장)>△방송본부 방송미디어부장 부국장대우 조화영 △뉴미디어연구소 CIS기술실 NS개발팀장 부국장대우 이용화 △콘텐츠아카이브실 인물콘텐츠팀 부국장대우 이재훈\n\n\n〈ⓒ e대한경제신문(www.dnews.co.kr), 무단전재 및 수집, 재배포금지〉\n\n ']"
1,2020-12-30,"[인사] 경기 성남시, 경북 영양군, 경기 양주시, 디지틀조선일보",['◆ 경기 성남시\n△중원구청장 이남석 △교통도로국장 하상래 △푸른도시사업소장 김윤철 △의회사무국장 오재곤 △재정경제국장 전동억 △도서관사업소장 오규홍 △의회사무국 전문위원 김상구 △의회사무국 전문위원 신정주 △아시아실리콘밸리담당관 주광호 △공보관 김순진 △비서실장 김양기 △마을공동체과장 이종빈 △예산재정과장 임명순 △법무과장 이정문 △관광과장 최대범 △공공의료정책과장 서남용 △수정구보건소 보건행정과장 정효희 △중원구보건소 보건행정과장 조만재 △분당구보건소 보건행정과장 김호길 △분당도서관장 김세진 △구미도서관장 홍진희 △복정도서관장 양시섭 △차량등록사업소장 임병영 △수정구 시민봉사과장 양상호 △수정구 세무과장 이기화 △신흥2동장 김금용 △중원구 행정지원과장 이강두 △중원구 환경위생과장 오세찬 △분당구 시민봉사과장 이양순 △분당구 경제교통과장 송인기 △분당구 도시미관과장 엄기소 △수내3동장 김형렬 △백현동장 한평강 △도서관지원과장 박대철 △분당구 운중동장 김재영 △위생정책과장 유숙영 △중원구보건소장 임동빈 △분당구보건소장 박인자 △수정구 환경위생과장 박화자 △환경정책과장 우한우 △기후에너지과장 이원용 △의회사무국 전문위원 김우순 △주택과장 박경우 △토지정보과장 장춘호 △복정동장 이성훈 △중원구 건축과장 권규영 △분당구 건축과장 유재복 △신흥1동장 엄은식 △신흥3동장 김광진 △산성동장 김복환 △양지동장 전경만 △중원구 시민봉사과장 한봉희 △중앙동장 김일호 △은행2동장 송기철 △상대원2동장 이옥영 △수내1동장 오미환 △금곡동장 염대석 △삼평동장 민정원 △태평2동장 이민옥 △중원구 건설과장 이창희 △도촌동장 김근자 △분당구 구조물관리과장 김성남\n\n◆ 경북 영양군\n△종합민원과장 직무대리 유병찬 △산림녹지과장 직무대리 이원기 △수비면장 임우규 \n\n◆ 경기 양주시\n4급 승진 △도시주택국장 조민형 △농업기술센터소장 한태수\n4급 전보 △일자리환경국장 김남권 △도시성장전략국장 이후성\n\n◆ 디지틀조선일보\n승진(국장) △콘텐츠아카이브실 부실장 겸 인물콘텐츠팀장 국장대우 오현기\n승진(부국장) △방송본부 방송미디어부장 부국장대우 조화영 △뉴미디어연구소 CIS기술실 NS개발팀장 부국장대우 이용화 △콘텐츠아카이브실 인물콘텐츠팀 부국장대우 이재훈 (*이상 2021년 1월1일자)\n<저작권자 © 비즈니스포스트 무단전재 및 재배포금지>\n김하민 기자의 다른기사보기']
2,2020-09-11,[인사] 디지틀조선일보,['◆디지틀조선일보\n△취재본부(The AI 편집장) 황민수\n\n\nart@news1.kr']
3,2020-03-22,[인사] 디지틀조선일보,['◇디지틀조선일보\n\n△이사 김형모 △고문 김봉현\n\n\n\n\n[저작권자 ⓒ디지털타임스 무단 전재-재배포 금지]']
4,2019-12-23,"[인사] 디지틀조선일보, 남양주시, 진천군, 경남도, 충북 영동군","['◆ 디지틀조선일보\n승진 △방송본부장 국장 정상혁 △경영전략본부 재경부장 국장대우 박현일\n\n◆ 남양주시\n4급 전보 △농업기술센터소장 구형서 △진접읍장 이상운 △행정기획실장 김승수 △복지국장 이군희 △진건읍장 이용복 △와부읍장 권혁무 △화도읍장 박부영 △도시국장 우진헌\n4급 승진 △별내동장 김경환 △교통도로국장 오철수 △산업경제국장 김기용 △환경녹지국장 용석만 △호평동장 주영환\n5급 전보 △전략기획관 박재영 △비서실장 김진현 △기획예산과장 김유중 △다산1동 생활자치과장 김혜랑 △산업경제정책과장 손연희 △오남읍장 이형우 △진접읍 생활자치과장 이인교 △기업지원과장 유형식 △도세관리과장 이순덕 △평내동장 김양오 △다산2동장 서완옥 △생태하천과장 이형진 △양정동장 오준택 △교통정책과장 심원철 △노인복지과장 방의문 △여성아동과장 이인애 △별내동 도시건축과장 이영규 △진접읍 도시건축과장 김웅겸 △하수처리과장 박승복 △별내면장 이선우 △도로관리과장 노태식\n5급 승진 △징수과장 직무대리 이장호 △홍보기획관 직무대리 윤선기 △자원순환과장 직무대리 문명우 △조안면장 직무대리 최영수 △공원조성과장 직무대리 이기복 △보육정책과장 직무대리 이석찬 △도시재생과장 직무대리 곽용환 △다산1동 복지지원과장 직무대리 정희영 △풍양보건소 보건정책과장 직무대리 이정미 △환경정책과장 직무대리 문석기 △진건읍 도시건축과장 직무대리 김현태 △농축산지원과장 직무대리 오형진\n\n◆ 진천군\n4급 승진 내정 △일자리경제과 이종찬\n5급 승진 내정 △친환경농정과 김광진\n6급 승진 △기획감사담당관 박일석 민영기 △행정지원과 김만희 강민호 임정희 △여성가족과 박승희 △민원과 김성현 박병국 △세정과 이창무 △회계정보과 이지연 이용희 △산림녹지과 김영중 △축산위생과 유제혁 임헌준 △안전건설과 정미영 △신재생에너지과 전승림 △상하수도사업소 최윤희 △보건행정과 이경화\n\n◆ 경남도\n실·국장, 부단체장 △행정국 인사과 김석기 △서부지역본부장 직무대리 천성봉 △감사관 직무대리 김제홍 △복지보건국장 신종우 △해양수산국장 김춘근 △도시교통국장 윤인국 △인재개발원장 박명균 △농정국장 정재민 △행정국 인사과 강호동 △진주부시장 정준석 △양산부시장 백승섭 △행정국 인사과 이향래 △행정국 인사과 조현준 △행정국 인사과 박환기 △행정국 인사과 이정곤 △산업혁신국장 직무대리 김영삼 △여성가족청년국장 직무대리 박일동 △서부권개발국장 직무대리 박정준 △행정국 인사과 이인숙 △행정국 인사과 조웅제 △행정국 인사과 손사현 △행정국 인사과 노영식 △행정국 인사과 정판용 △함안부군수 김준간 △창녕부군수 안태명 △고성부군수 김종순 △남해부군수 홍득호 △함양부군수 조현옥 △합천부군수 이상헌\n\n◆ 충북 영동군\n4급 승진 내정 △힐링사업소 박래성\n5급 승진 △황간면 서병영 △심천면 조도숙 △농정과 김석주 △농정과 권순문 △산림과 김정근 △건설교통과 장우섭 △도시건축과 김명식 △보건소 김송자 △농업기술센터 송홍주\n<저작권자 © 비즈니스포스트 무단전재 및 재배포금지>\n김지석 기자의 다른기사보기']"
5,2019-12-23,[인사] 디지틀조선일보,['◇디지틀조선일보\n\n◇승진 △방송본부장 국장 정상혁 △경영전략본부 재경부장 국장대우 박현일\n\n\n\n\n[저작권자 ⓒ디지털타임스 무단 전재-재배포 금지]']
6,2020-03-22,[인사] 디지틀조선일보,['◇디지틀조선일보\n\n△이사 김형모 △고문 김봉현\n\n\n\n\n[저작권자 ⓒ디지털타임스 무단 전재-재배포 금지]']
7,2019-12-23,"[인사] 디지틀조선일보, 남양주시, 진천군, 경남도, 충북 영동군","['◆ 디지틀조선일보\n승진 △방송본부장 국장 정상혁 △경영전략본부 재경부장 국장대우 박현일\n\n◆ 남양주시\n4급 전보 △농업기술센터소장 구형서 △진접읍장 이상운 △행정기획실장 김승수 △복지국장 이군희 △진건읍장 이용복 △와부읍장 권혁무 △화도읍장 박부영 △도시국장 우진헌\n4급 승진 △별내동장 김경환 △교통도로국장 오철수 △산업경제국장 김기용 △환경녹지국장 용석만 △호평동장 주영환\n5급 전보 △전략기획관 박재영 △비서실장 김진현 △기획예산과장 김유중 △다산1동 생활자치과장 김혜랑 △산업경제정책과장 손연희 △오남읍장 이형우 △진접읍 생활자치과장 이인교 △기업지원과장 유형식 △도세관리과장 이순덕 △평내동장 김양오 △다산2동장 서완옥 △생태하천과장 이형진 △양정동장 오준택 △교통정책과장 심원철 △노인복지과장 방의문 △여성아동과장 이인애 △별내동 도시건축과장 이영규 △진접읍 도시건축과장 김웅겸 △하수처리과장 박승복 △별내면장 이선우 △도로관리과장 노태식\n5급 승진 △징수과장 직무대리 이장호 △홍보기획관 직무대리 윤선기 △자원순환과장 직무대리 문명우 △조안면장 직무대리 최영수 △공원조성과장 직무대리 이기복 △보육정책과장 직무대리 이석찬 △도시재생과장 직무대리 곽용환 △다산1동 복지지원과장 직무대리 정희영 △풍양보건소 보건정책과장 직무대리 이정미 △환경정책과장 직무대리 문석기 △진건읍 도시건축과장 직무대리 김현태 △농축산지원과장 직무대리 오형진\n\n◆ 진천군\n4급 승진 내정 △일자리경제과 이종찬\n5급 승진 내정 △친환경농정과 김광진\n6급 승진 △기획감사담당관 박일석 민영기 △행정지원과 김만희 강민호 임정희 △여성가족과 박승희 △민원과 김성현 박병국 △세정과 이창무 △회계정보과 이지연 이용희 △산림녹지과 김영중 △축산위생과 유제혁 임헌준 △안전건설과 정미영 △신재생에너지과 전승림 △상하수도사업소 최윤희 △보건행정과 이경화\n\n◆ 경남도\n실·국장, 부단체장 △행정국 인사과 김석기 △서부지역본부장 직무대리 천성봉 △감사관 직무대리 김제홍 △복지보건국장 신종우 △해양수산국장 김춘근 △도시교통국장 윤인국 △인재개발원장 박명균 △농정국장 정재민 △행정국 인사과 강호동 △진주부시장 정준석 △양산부시장 백승섭 △행정국 인사과 이향래 △행정국 인사과 조현준 △행정국 인사과 박환기 △행정국 인사과 이정곤 △산업혁신국장 직무대리 김영삼 △여성가족청년국장 직무대리 박일동 △서부권개발국장 직무대리 박정준 △행정국 인사과 이인숙 △행정국 인사과 조웅제 △행정국 인사과 손사현 △행정국 인사과 노영식 △행정국 인사과 정판용 △함안부군수 김준간 △창녕부군수 안태명 △고성부군수 김종순 △남해부군수 홍득호 △함양부군수 조현옥 △합천부군수 이상헌\n\n◆ 충북 영동군\n4급 승진 내정 △힐링사업소 박래성\n5급 승진 △황간면 서병영 △심천면 조도숙 △농정과 김석주 △농정과 권순문 △산림과 김정근 △건설교통과 장우섭 △도시건축과 김명식 △보건소 김송자 △농업기술센터 송홍주\n<저작권자 © 비즈니스포스트 무단전재 및 재배포금지>\n김지석 기자의 다른기사보기']"
8,2019-12-23,[인사] 디지틀조선일보,['◇디지틀조선일보\n\n◇승진 △방송본부장 국장 정상혁 △경영전략본부 재경부장 국장대우 박현일\n\n\n\n\n[저작권자 ⓒ디지털타임스 무단 전재-재배포 금지]']
9,2018-12-28,"[인사] 대전시 동구, 국토교통부, 디지틀조선일보, 교보증권",['◆ 대전시 동구\n△세무과장 조영순 △열린민원실장 장경석 △토지정보과장 권오규 △복지정책과장 윤미숙 △환경과장 윤재경 △경제과장 김형남 △공원녹지과장 조남형 △보건과장 현시환 △신인동장 이외성 △판암1동장 윤태찬 △용운동장 안옥 △용전동장 손영상 △산내동장 직무대리 김경수\n\n◆ 국토교통부\n실장급 전보 △기획조정실장 김경욱 △교통물류실장 손명수 △항공정책실장 권용복\n\n◆ 디지틀조선일보\n승진 △콘텐츠아카이브실장 겸 뉴스콘텐츠팀장 국장대우 김혜선 △뉴미디어연구소 CIS기술실장 국장대우 이향식(이상 국장) △뉴미디어연구소 CIS기술실 CTS시스템팀장 부국장대우 이상우(부국장)\n\n◆ 교보증권\n지점장 승진 △상계지점 정완종 △광화문금융센터 신성원\n부서장 승진 △금융상품1부 이상태 △채권인수부 김문영 △결제사무부 김준재 △업무시스템지원부 장준수 △정보인프라지원부 양병수\n지점장 이동 △명동지점 홍윤기 △영업2부 신향석 △여의도금융센터 변정선 △송파지점 이태원 △사당동지점 조석민 △강남금융센터 정도영\n<저작권자 © 비즈니스포스트 무단전재 및 재배포금지>\n임한솔 기자의 다른기사보기']
