,date,title,contents
0,2018-11-22,"아시아나아이디티, 오는 23일 유가증권시장 신규 상장","['한국거래소 유가증권시장본부 오는 23일 아시아나아이디티의 주권을 유가증권시장에 상장할 예정이라고 22일 밝혔다.\n\n아시아나아이디티는 1991년 설립된 시스템 소프트웨어 공급업체로 시스템 소프트웨어 개발 및 공급업(운영유지보수, 컨설팅/SI) 등의 사업을 영위 중이다.\n\n아시아나항공이 76.2% 보유해 최대주주로 있으며, 금호아시아나 기업집단 소속이다.\n\n지난해 별도 기준 매출액은 2603억원, 당기순이익은 162억원을 기록했다. 대표주관사는 KB증권이다. 공모가는 1만5000원이다.\n\n아시아나아이디티 주권의 시초가는 상장일 오전 8시에서 9시 사이 공모가격인 1만5000원의 90%~200% 사이에서 호가를 접수해 매도호가와 매수호가가 합치되는 가격으로 결정된다. 이 시초가를 기준으로 상하 30%의 가격제한폭이 적용된다.\n\n장가람 기자 jay@']"
1,2018-11-22,"아시아나아이디티, 오는 23일 유가증권시장 신규 상장","['한국거래소 유가증권시장본부 오는 23일 아시아나아이디티의 주권을 유가증권시장에 상장할 예정이라고 22일 밝혔다.\n\n아시아나아이디티는 1991년 설립된 시스템 소프트웨어 공급업체로 시스템 소프트웨어 개발 및 공급업(운영유지보수, 컨설팅/SI) 등의 사업을 영위 중이다.\n\n아시아나항공이 76.2% 보유해 최대주주로 있으며, 금호아시아나 기업집단 소속이다.\n\n지난해 별도 기준 매출액은 2603억원, 당기순이익은 162억원을 기록했다. 대표주관사는 KB증권이다. 공모가는 1만5000원이다.\n\n아시아나아이디티 주권의 시초가는 상장일 오전 8시에서 9시 사이 공모가격인 1만5000원의 90%~200% 사이에서 호가를 접수해 매도호가와 매수호가가 합치되는 가격으로 결정된다. 이 시초가를 기준으로 상하 30%의 가격제한폭이 적용된다.\n\n장가람 기자 jay@']"
2,2017-07-20,"아시아나아이디티, 코스피 상장예비심사신청서 제출","['한국거래소 유가증권시장본부는 전일 아시아나아이디티의 상장예비심사신청서를 접수했다고 20일 밝혔다.', '아시아나아이디티는 1991년 9월 2일 설립돼 시스템 통합 및 소프트웨어 개발, IT 아웃소싱 등을 주요사업으로 하고 있다. 신청일 현재 아시아나항공에서 100% 지분을 보유하고 있다. 이 회사의 지난해 별도기준 매출액은 2565억 원, 당기순이익은 109억 원이다.']"
3,2019-05-01,필룩스ㆍ아시아나아이디티ㆍ인스코비 등 42개사 5월 의무보호예수 해제,"['한국예탁결제원은 필룩스·아시아나아이디티·인스코비 등 총 42개사 1억4286만 주가 5월 의무보호예수 해제된다고 1일 밝혔다.', '의무보호예수는 투자자 보호를 위해 대주주 등의 지분 매매를 일정 기간 제한하는 조치다.', '시장별로는 유가증권시장은 1608만 주(3개사), 코스닥시장은 1억2678만 주(39개사)다.', '5월중 의무보호예수 해제주식수량은 전월(1억6464만 주) 대비 13.2% 감소했으며, 지난해 동월(3억556만 주) 대비 53.2% 줄었다.', '세부적으로 보면 유가증권시장에서는 △2일 필룩스 △23일 아시아나아이디티 △23일과 25일 인스코비 등의 의무보호예수가 풀린다.', '코스닥 시장에서는 △1일 엘앤씨바이오, 이노테라피 △2일 노바텍, 바이오빌, 에이앤티앤 △3일 상지카일룸 △6일 대보마그네틱 △8일 마이크로텍 △9일 농업회사법인농우바이오, 에스마크, 유비케어 등의 의무보호예수가 해제된다.']"
4,2018-10-15,"아시아나항공, 425억 상당 아시아나아이디티 주식 처분","['""아시아나항공 계열 기업가치 제고 유동성 확보 목적""\n상장 앞두고 아시아나 100% 자회사서 지분율 낮춰\n【서울=뉴시스】\n【서울=뉴시스】고은결 기자 = 아시아나항공은 계열사 아시아나아이디티 주식 220만주를 424억6000만 원에 처분하기로 했다고 15일 공시했다.\n\n처분 예정일자는 11월 19일이며 처분 후 소유 주식 수는 780만 주, 처분 후 지분율은 70.30%가 된다.\n\n아시아나아이디티는 컴퓨터 시스템 통합 자문 및 구축 서비스업 등을 목적으로 설립된 비상장사다. 아시아나항공이 지분 100% 보유하고 있었지만 이번 처분으로 지분율이 낮아지게 된다.\n\n아시아나아이디티는 지난달 코스닥 상장 예비심사를 통과했다. 박삼구 금호아시아나그룹 회장의 장남인 박세창 사장이 대표이사를 맡고 있다.\n\n아시아나항공은 처분 목적에 대해 ""아시아나항공 계열의 기업가치 제고와 유동성 확보 등""이라고 설명했다.\n\n keg@newsis.com', '【서울=뉴시스】']"
5,2018-09-05,"아시아나IDT, 코스피 상장 예비심사 통과","['아시아나아이디티(IDT)가 유가증권시장 상장 예비심사를 통과했다.', '한국거래소 유가증권시장본부는 5일 아시아나아이디티에 대한 주권 상장예비심사 결과, 상장요건을 충족하고 있어 상장에 적격한 것으로 확정했다고 밝혔다.', '아시아나IDT는 시스템 소프트웨어 개발과 공급업을 하는 회사로 아시아나항공이 지분 100%를 가지고 있다.', '지난해 별도재무제표 기준으로 매출액 2603억 원, 당기순이익 162억 원을 기록했다.']"
6,2018-05-29,아시아나IDT 상장 재도전..금호타이어 변수에 촉각,"['금호아시아나그룹 계열사로 SI(시스템통합) 업체인 아시아나아이디티(아시아나IDT)가 유가증권시장 상장 재추진에 나선 가운데 그룹 관계사인 금호타이어 매각이 투자수요의 변수가 될 것으로 관측된다.\n\n29일 관련 업계에 따르면 아시아나IDT는 코스피 상장예비심사를 청구하며 본격적인 공모 절차에 돌입했다. 주관사는 KB증권이다.\n\n\n아시아나IDT는 지난해 7월 상장예비심사를 청구한 뒤 약 3개월 뒤인 10월 심사를 철회했다. 당시 금호타이어 매각 절차가 진행 중이라 이에 따른 영향을 객관적으로 판단하기 어렵다는 이유에서다. 금호타이어는 아시아나IDT 전체 수익의 13% 이상을 차지하고 있는 주요 고객 중 하나다.\n\n금호타이어가 중국 더블스타로 매각이 결정되면서 아시아나IDT가 상장 재추진을 할 수 있는 환경이 조성됐다.\n\n다만 금호타이어가 중국으로 매각될 경우 아시아나IDT의 주요 매출처가 이탈할 수 있다는 우려가 부담으로 작용할 수 있다. 또 아시아나IDT의 지난해 순이익이 193억원으로 전년대비 18.8% 감소하는 등 성장 추세가 둔화된 점도 걱정거리다. 지난해 이익 감소는 금호타이어가 매각을 추진하는 과정에서 신규 투자를 줄였기 때문인 것으로 보인다.\n\n아시아나IDT는 4차산업혁명 관련 분야 투자 확대를 통한 신성장동력 마련으로 돌파구를 찾겠다는 전략이다. 아시아나IDT는 SI 사업자지만 그동안 투자와 R&D(연구개발)를 통해 빅데이터 분석 솔루션, 항공 운항정보표출시스템, 국제회계기준 관련 솔루션, 지능형 교통시스템 등 소프트웨어(SW) 경쟁력을 높였다.\n\n아시아나IDT는 그동안 구축한 소프트웨어 기술을 기반으로 상장 이후 빅데이터, 인공지능, 클라우드, 사물인터넷(IoT) 분야 투자를 확대할 계획이다. 이를 위한 자금 조달이 필요하기 때문에 공모 구조는 구주매출과 신주발행을 병행할 가능성이 높다. 아시아나IDT 최대주주는 아시아나항공으로 지분율은 100%다.\n\n아시아나IDT는 지난해 상장 추진 과정에서 최대 4000억원 안팎의 기업가치가 가능하다는 분석이 나왔다. 금호타이어 매각이 확정된데다 지난해보다 순이익 규모가 줄어든 점은 아시아나IDT에 대한 기대치를 낮추는 요인이다.\n\n올해 역시 지난해 보다 눈에 띄는 실적 향상은 기대하기 어려운 것으로 관측된다. 기업가치 기준 4000억원은 아시아나IDT 지난해 실적 기준 PER(주가수익비율) 약 20.6배다.\n\n반면 최근 삼성에스디에스 (175,500원 3500 -2.0%) 등 주요 SI 기업의 주가가 지난해 상장 추진 시기보다 상승한 점은 긍정적이다. 현재 상장예비심사가 진행 중인 롯데정보통신에 대한 시장 평가 역시 아시아나IDT 밸류에이션에 영향을 미칠 것으로 보인다.\n\n증권업계 관계자는 ""아시아나IDT는 지난해와 일부 사업 환경이 달라진 점은 있지만 밸류에이션 측면에선 크게 다른 전략을 추구할 가능성은 높지 않다""며 ""금호타이어 매각으로 인한 심리적인 부담이 작용할 수 있지만, 아시아나IDT의 솔루션이 구축돼 있는 만큼 단기적으로 SI 사업자를 바꾸는 것은 무리""라고 말했다.']"
7,2009-12-02,"금호, 아시아나IDT 매각 무산되나","['금호아시아나그룹의 전산시스템 개발업체인 아시아나 아이디티(IDT) 매각이 무산된 것으로 알려졌습니다.\n\n\n\n외신에 따르면 미국의 특수목적회사인 TGY가 최근 아시아나IDT 지분인수를 포기하기로 했다고 밝혔습니다.\n\n앞서 금호그룹은 아시아나IDT 지분 매각을 통해 800억원 가량의 유동성을 확보할 수 있을 것으로 기대했습니다.\n\n금호아시아나는 이에 대해 ""아직 TGY측으로부터 공식입장을 통보 받은 바 없다""며 ""오는 4일 주주총회를 통해 결정될 것으로 보인다""고 전했습니다.']"
8,2017-07-20,"아시아나아이디티, 코스피 상장예비심사신청서 제출","['한국거래소 유가증권시장본부는 전일 아시아나아이디티의 상장예비심사신청서를 접수했다고 20일 밝혔다.', '아시아나아이디티는 1991년 9월 2일 설립돼 시스템 통합 및 소프트웨어 개발, IT 아웃소싱 등을 주요사업으로 하고 있다. 신청일 현재 아시아나항공에서 100% 지분을 보유하고 있다. 이 회사의 지난해 별도기준 매출액은 2565억 원, 당기순이익은 109억 원이다.']"
9,2019-05-01,필룩스ㆍ아시아나아이디티ㆍ인스코비 등 42개사 5월 의무보호예수 해제,"['한국예탁결제원은 필룩스·아시아나아이디티·인스코비 등 총 42개사 1억4286만 주가 5월 의무보호예수 해제된다고 1일 밝혔다.', '의무보호예수는 투자자 보호를 위해 대주주 등의 지분 매매를 일정 기간 제한하는 조치다.', '시장별로는 유가증권시장은 1608만 주(3개사), 코스닥시장은 1억2678만 주(39개사)다.', '5월중 의무보호예수 해제주식수량은 전월(1억6464만 주) 대비 13.2% 감소했으며, 지난해 동월(3억556만 주) 대비 53.2% 줄었다.', '세부적으로 보면 유가증권시장에서는 △2일 필룩스 △23일 아시아나아이디티 △23일과 25일 인스코비 등의 의무보호예수가 풀린다.', '코스닥 시장에서는 △1일 엘앤씨바이오, 이노테라피 △2일 노바텍, 바이오빌, 에이앤티앤 △3일 상지카일룸 △6일 대보마그네틱 △8일 마이크로텍 △9일 농업회사법인농우바이오, 에스마크, 유비케어 등의 의무보호예수가 해제된다.']"
