,date,title,contents
0,2014-01-07,"아이리버, 포터블 하이-파이 오디오 '아스텔앤컨 AK240' 공개","['아이리버(대표 박일환 www.iriver.co.kr)가 세계 최대 가전쇼 ‘CES 2014’에서 포터블 하이-파이 오디오 브랜드 아스텔앤컨의 신모델 AK240을 첫 공개했다.\n\n아스텔앤컨은 2012년 10월 브랜드 론칭과 함께 선보였던 AK100을 시작으로 AK120, AK10에 이르는 모델을 선보여왔으며, 미국, 유럽, 일본, 중국 등 세계 각지에서 각종 유명한 오디오 관련 수상과 함께 호평을 받아왔다.']"
1,2012-10-11,"아이리버, 포터블 하이-파이 오디오 '아스텔앤컨' 출시","['소비자 가격은 69만8000원으로 전국 아이리버존, 공식 쇼핑몰(shop.iriver.co.kr)과 아이리버 뮤직 사이트(www.irivermusic.com)를 통해서 구매할 수 있다.  \n ']"
2,2014-05-15,"아이리버, 2세대 아스텔앤컨 AK100, AK120 공개","['[아이티투데이 김문기 기자] 아스텔앤컨 2세대 신제품이 나왔다.', '아이리버(대표 박일환)는 15일 독일 뮌헨에서 개막한 ‘하이 엔드R2014’에서 2tpeo 아스텔앤컨 신모델을 공개했다.', '하이 엔드R 2014는 세계 최대 규모의 하이-파이 오디오 전시회로 아이리버는 작년에 이어 올해 2번째로 참가했다. 아이리버는 이번 전시회를 통해 싱글 DAC 모델인 AK100, 듀얼 DAC 모델인 AK120의 2세대 모델을 새롭게 선보였다.\n \n이번 2세대 모델은 올해 초 첫 출시 후 전 세계 30여개국에서 큰 관심을 받고 있는 아스텔앤컨 플래그십 모델인 AK240의 기능들을 계승 및 확대 적용함으로써 1세대 모델과는 차별화되는 성능을 갖추고 있다.', 'AK100, AK120 2세대에는 1세대 모델에 사용했던 울프슨 WM8740 대신, 아스텔앤컨 플래그십 모델인 AK240에 사용했던 씨러스 로직 CS4398 DAC이 장착됐다. CS4398과 아스텔앤컨만의 A-amp를 통해 아스텔앤컨 특유의 묵직하면서도 꾸밈없는 사운드 구현이 가능해졌다. 화면도 AK240에 사용된 3.31인치 아몰레드 터치스크린 패널을 사용해 한층 더 넓어졌다.\n \n또한 AK240을 통해 처음 선보였던 밸런스드 아웃 단자를 그대로 적용했다. 밸런스 전송 방식은 아날로그 신호 전송 시 발생하는 노이즈의 역위상 신호를 추가 전송하는 방식으로, 노이즈를 없애 선명하고 깨끗한 사운드를 만들어낸다.\n \nDSD 파일 재생 기능 또한 한층 더 업그레이드 되어 DSD 5.6MHz까지 재생이 가능해졌다. 음악 장르에 맞게 사용자가 원하는 EQ를 더욱 세밀하게 조정할 수 있도록 밴드 수를 10개로 늘리고 단계도 0.5dB씩 조정이 가능하도록 설계됐다.\n \n공식 판매 가격은 AK120 2세대가 198만원, AK100 2세대가 109만원이다. 이달 말부터 전 세계에서 순차적으로 발매될 예정이다.']"
3,2012-12-16,"""음악의 본질""…아이리버 아스텔앤컨 써보니","['[백나영기자] ""초고음질로 한판 붙자!""', '스마트폰의 침공으로 승승장구하던 MP3 플레이어 시장이 무너지기 시작했다. MP3 플레이어 제조사들은 동영상 재생, 작고 예쁜 디자인 등 부가적인 요소를 추가하거나 발전시키면서 스마트폰에 맞섰다. 하지만 경쟁이 되지 않았다. 휴대성과 음질에서 MP3가 우위에 있다고는 하지만 스마트폰의 장점을 넘어설 정도의 경쟁력이 되지는 못했던 것.', ""여기에 아이리버가 내놓은 답은 '음악의 본질'이다. 스마트폰을 따라갈 수 없다면 MP3 플레이어만이 할 수 있는 '초고음질'을 구현하는 제품으로 소비자들의 마음을 사로잡겠다는 전략이다."", '아이리버가 10년 전 영광을 되찾기 위해 야심차게 준비한 ‘아스텔앤컨’을 직접 사용해봤다.', '◆올 블랙바디에 심플함 강조', '아스텔앤컨은 MQS(마스터 퀄리티 사운드) 재생이 가능한 휴대용 하이-파이 오디오 플레이어다. MQS는 음반 제작의 마지막 단계인 마스터링 스튜디오에서 사용하는 초고음질(24비트·192kHz) 음원을 의미한다. 한 곡 당 용량이 100~200MB 정도로 CD(16비트·44.1kHz)음원을 뛰어넘는다. 현존 디지털음원 중 가장 높은 수준의 음원이라고 생각하면 된다.', '아스텔앤컨의 외관은 딱딱한 느낌이다. 기존 아이리버가 가지고 있었던 고유의 은은하면서도 세련된 디자인 대신 올 블랙 알루미늄 바디에 섬세한 헤어라인 패턴을 적용해 프리미엄 이미지를 강조했다.', '제품 구성도 매우 심플하다. 윗면에는 전원버튼과 이어폰잭, PC와 CD플레이어에 연결할 수 있는 옵티컬 입력(Optical In) 단자가 있다. 왼편으로는 재생, 정지, 곡 넘김 버튼이 있어 이동시에도 편리하게 조작이 가능하다. 오른편에는 150단계의 볼륨 조절 휠이 자리하고 있다. 아랫면에는 마이크로SD카드 슬롯과 충전단자가 있다.', '아스텔앤컨은 2.4인치 터치스크린이 탑재되어 있다. 최신형 스마트폰 터치스크린에 익숙해진 소비자라면 화면을 조작하면서 느껴지는 뻑뻑함이 약간은 답답하게 느껴질 수 있을 듯하다.', ""◆녹음실에서 감상하는 수준의 '생생함'"", '아이리버가 자랑하는 초고음질은 어느 정도 수준일까. 아스텔앤컨의 음질을 보다 제대로 감상하기 위해 젠하이저의 헤드폰 모멘텀을 함께 사용했다. 모멘텀은 강력한 네오디뮴 자석을 탑재한 제품으로 음 왜곡도를 0.5%이하로 낮춰 선명한 사운드를 지원하는 프리미엄 헤드폰이다.', '아스텔앤컨을 구매하면 8곡의 MQS파일이 담긴 마이크로SD 카드를 제공하는데 이를 통해 감상할 수 있었다. MQS 음원을 감상한 결과 일반 MP3 음원보다 훨씬 생동감 있고 입체감 있었다. 마치 방음시설이 완벽하게 구비된 녹음실 안에서 가수의 숨소리까지 생생하게 느끼며 음악을 듣고 있는 듯했다. 악기들의 연주음도 한음한음 또렷하게 전해지고 음의 깊이감도 풍부했다. 기존 MP3에서 느낄 수 있는 깊이가 3정도라면 MQS 음원에서는 5~6정도로 풍부하게 들렸다.', '다만 프리미엄 헤드폰이나 이어폰이 아니면 고음질을 제대로 느낄 수 없었다. 평소 사용하던 이어폰을 이용해 음원을 감상해보니 생생한 느낌이나 깊이감도 떨어졌고 반주되는 악기의 음도 약간 뭉개져서 들렸다.', '◆문제는 가격과 콘텐츠', '귀가 크게 민감하지 않은 기자도 차이를 느낄 수 있을 정도로 아스텔앤컨이 좋은 음질을 선사하는 것은 확실하다. 문제는 가격이다. 아스텔앤컨의 가격은 69만8천원. 앞서 언급한대로 프리미엄 헤드폰과 함께 즐겨야 MQS 파일을 제대로 즐길 수 있는 것을 감안한다면 소비자들이 투자해야할 돈은 100만원을 넘어선다.', '더 큰 문제는 소비자들이 접할 수 있는 MQS 파일이 많지 않다는 사실이다. 아이리버가 직접 MQS 파일을 판매하고 있지만 400곡 정도로 감상할 수 있는 음원이 매우 제한적이다. 곡당 가격도 1천800원으로 부가세까지 포함하면 2천원 수준이다. 현재 MQS 파일을 유통하는 곳도 아이리버가 유일하다.', '앞으로 아이리버가 얼마나 활발히 MQS 파일들을 유통시키면서 마니아층에 어필할 수 있느냐에 따라 아스텔앤컨의 성패가 갈릴 것으로 보인다.']"
4,2012-07-13,"뚜레쥬르, 베트남 컨터 진출","['CJ푸드빌의 베이커리 브랜드 뚜레쥬르는 오는 14일과 26일 각각 베트남 컨터와 호치민에 매장을 연다고 13일 밝혔다.\n\n컨터점은 베트남 5대 도시 중 하나인 컨터시에 있으며 베트남 17호점이 된다. 컨터는 뚜레쥬르가 호치민과 하노이에 이은 현지 진출 세 번째 도시다.\n\n아울러 18호점이 될 호치민 바탕하이점은 대형마트, 극장, 글로벌 식음료 브랜드 등이 밀집된 핵심상권에 있다.\n\n이로써 뚜레쥬르는 호치민 16개 점, 하노이 1개 점, 컨터 1개 점 등 총 18개의 매장을 운영하게 됐다. 뚜레쥬르는 지난 2007년 6월 호치민에 처음으로 매장을 내고 현지 시장에 진출했다.']"
5,2014-05-15,"아이리버, 2세대 아스텔앤컨 AK100, AK120 공개","['[아이티투데이 김문기 기자] 아스텔앤컨 2세대 신제품이 나왔다.', '아이리버(대표 박일환)는 15일 독일 뮌헨에서 개막한 ‘하이 엔드R2014’에서 2tpeo 아스텔앤컨 신모델을 공개했다.', '하이 엔드R 2014는 세계 최대 규모의 하이-파이 오디오 전시회로 아이리버는 작년에 이어 올해 2번째로 참가했다. 아이리버는 이번 전시회를 통해 싱글 DAC 모델인 AK100, 듀얼 DAC 모델인 AK120의 2세대 모델을 새롭게 선보였다.\n \n이번 2세대 모델은 올해 초 첫 출시 후 전 세계 30여개국에서 큰 관심을 받고 있는 아스텔앤컨 플래그십 모델인 AK240의 기능들을 계승 및 확대 적용함으로써 1세대 모델과는 차별화되는 성능을 갖추고 있다.', 'AK100, AK120 2세대에는 1세대 모델에 사용했던 울프슨 WM8740 대신, 아스텔앤컨 플래그십 모델인 AK240에 사용했던 씨러스 로직 CS4398 DAC이 장착됐다. CS4398과 아스텔앤컨만의 A-amp를 통해 아스텔앤컨 특유의 묵직하면서도 꾸밈없는 사운드 구현이 가능해졌다. 화면도 AK240에 사용된 3.31인치 아몰레드 터치스크린 패널을 사용해 한층 더 넓어졌다.\n \n또한 AK240을 통해 처음 선보였던 밸런스드 아웃 단자를 그대로 적용했다. 밸런스 전송 방식은 아날로그 신호 전송 시 발생하는 노이즈의 역위상 신호를 추가 전송하는 방식으로, 노이즈를 없애 선명하고 깨끗한 사운드를 만들어낸다.\n \nDSD 파일 재생 기능 또한 한층 더 업그레이드 되어 DSD 5.6MHz까지 재생이 가능해졌다. 음악 장르에 맞게 사용자가 원하는 EQ를 더욱 세밀하게 조정할 수 있도록 밴드 수를 10개로 늘리고 단계도 0.5dB씩 조정이 가능하도록 설계됐다.\n \n공식 판매 가격은 AK120 2세대가 198만원, AK100 2세대가 109만원이다. 이달 말부터 전 세계에서 순차적으로 발매될 예정이다.']"
6,2012-12-16,"""음악의 본질""…아이리버 아스텔앤컨 써보니","['[백나영기자] ""초고음질로 한판 붙자!""', '스마트폰의 침공으로 승승장구하던 MP3 플레이어 시장이 무너지기 시작했다. MP3 플레이어 제조사들은 동영상 재생, 작고 예쁜 디자인 등 부가적인 요소를 추가하거나 발전시키면서 스마트폰에 맞섰다. 하지만 경쟁이 되지 않았다. 휴대성과 음질에서 MP3가 우위에 있다고는 하지만 스마트폰의 장점을 넘어설 정도의 경쟁력이 되지는 못했던 것.', ""여기에 아이리버가 내놓은 답은 '음악의 본질'이다. 스마트폰을 따라갈 수 없다면 MP3 플레이어만이 할 수 있는 '초고음질'을 구현하는 제품으로 소비자들의 마음을 사로잡겠다는 전략이다."", '아이리버가 10년 전 영광을 되찾기 위해 야심차게 준비한 ‘아스텔앤컨’을 직접 사용해봤다.', '◆올 블랙바디에 심플함 강조', '아스텔앤컨은 MQS(마스터 퀄리티 사운드) 재생이 가능한 휴대용 하이-파이 오디오 플레이어다. MQS는 음반 제작의 마지막 단계인 마스터링 스튜디오에서 사용하는 초고음질(24비트·192kHz) 음원을 의미한다. 한 곡 당 용량이 100~200MB 정도로 CD(16비트·44.1kHz)음원을 뛰어넘는다. 현존 디지털음원 중 가장 높은 수준의 음원이라고 생각하면 된다.', '아스텔앤컨의 외관은 딱딱한 느낌이다. 기존 아이리버가 가지고 있었던 고유의 은은하면서도 세련된 디자인 대신 올 블랙 알루미늄 바디에 섬세한 헤어라인 패턴을 적용해 프리미엄 이미지를 강조했다.', '제품 구성도 매우 심플하다. 윗면에는 전원버튼과 이어폰잭, PC와 CD플레이어에 연결할 수 있는 옵티컬 입력(Optical In) 단자가 있다. 왼편으로는 재생, 정지, 곡 넘김 버튼이 있어 이동시에도 편리하게 조작이 가능하다. 오른편에는 150단계의 볼륨 조절 휠이 자리하고 있다. 아랫면에는 마이크로SD카드 슬롯과 충전단자가 있다.', '아스텔앤컨은 2.4인치 터치스크린이 탑재되어 있다. 최신형 스마트폰 터치스크린에 익숙해진 소비자라면 화면을 조작하면서 느껴지는 뻑뻑함이 약간은 답답하게 느껴질 수 있을 듯하다.', ""◆녹음실에서 감상하는 수준의 '생생함'"", '아이리버가 자랑하는 초고음질은 어느 정도 수준일까. 아스텔앤컨의 음질을 보다 제대로 감상하기 위해 젠하이저의 헤드폰 모멘텀을 함께 사용했다. 모멘텀은 강력한 네오디뮴 자석을 탑재한 제품으로 음 왜곡도를 0.5%이하로 낮춰 선명한 사운드를 지원하는 프리미엄 헤드폰이다.', '아스텔앤컨을 구매하면 8곡의 MQS파일이 담긴 마이크로SD 카드를 제공하는데 이를 통해 감상할 수 있었다. MQS 음원을 감상한 결과 일반 MP3 음원보다 훨씬 생동감 있고 입체감 있었다. 마치 방음시설이 완벽하게 구비된 녹음실 안에서 가수의 숨소리까지 생생하게 느끼며 음악을 듣고 있는 듯했다. 악기들의 연주음도 한음한음 또렷하게 전해지고 음의 깊이감도 풍부했다. 기존 MP3에서 느낄 수 있는 깊이가 3정도라면 MQS 음원에서는 5~6정도로 풍부하게 들렸다.', '다만 프리미엄 헤드폰이나 이어폰이 아니면 고음질을 제대로 느낄 수 없었다. 평소 사용하던 이어폰을 이용해 음원을 감상해보니 생생한 느낌이나 깊이감도 떨어졌고 반주되는 악기의 음도 약간 뭉개져서 들렸다.', '◆문제는 가격과 콘텐츠', '귀가 크게 민감하지 않은 기자도 차이를 느낄 수 있을 정도로 아스텔앤컨이 좋은 음질을 선사하는 것은 확실하다. 문제는 가격이다. 아스텔앤컨의 가격은 69만8천원. 앞서 언급한대로 프리미엄 헤드폰과 함께 즐겨야 MQS 파일을 제대로 즐길 수 있는 것을 감안한다면 소비자들이 투자해야할 돈은 100만원을 넘어선다.', '더 큰 문제는 소비자들이 접할 수 있는 MQS 파일이 많지 않다는 사실이다. 아이리버가 직접 MQS 파일을 판매하고 있지만 400곡 정도로 감상할 수 있는 음원이 매우 제한적이다. 곡당 가격도 1천800원으로 부가세까지 포함하면 2천원 수준이다. 현재 MQS 파일을 유통하는 곳도 아이리버가 유일하다.', '앞으로 아이리버가 얼마나 활발히 MQS 파일들을 유통시키면서 마니아층에 어필할 수 있느냐에 따라 아스텔앤컨의 성패가 갈릴 것으로 보인다.']"
7,2012-07-13,"뚜레쥬르, 베트남 컨터 진출","['CJ푸드빌의 베이커리 브랜드 뚜레쥬르는 오는 14일과 26일 각각 베트남 컨터와 호치민에 매장을 연다고 13일 밝혔다.\n\n컨터점은 베트남 5대 도시 중 하나인 컨터시에 있으며 베트남 17호점이 된다. 컨터는 뚜레쥬르가 호치민과 하노이에 이은 현지 진출 세 번째 도시다.\n\n아울러 18호점이 될 호치민 바탕하이점은 대형마트, 극장, 글로벌 식음료 브랜드 등이 밀집된 핵심상권에 있다.\n\n이로써 뚜레쥬르는 호치민 16개 점, 하노이 1개 점, 컨터 1개 점 등 총 18개의 매장을 운영하게 됐다. 뚜레쥬르는 지난 2007년 6월 호치민에 처음으로 매장을 내고 현지 시장에 진출했다.']"
8,2012-08-17,“獨 제외한 유럽 경제 ‘잃어버린 10년’ 진입”,"['유럽 경제가 독일을 제외하고 1990년대 일본의 장기침체와 같은 ‘잃어버린 10년’에 이미 진입했다는 경제전문가들의 진단이 나왔다.\n\n뉴욕타임스(NYT)는 피터 루퍼트(캘리포니아주립대 샌타바버라), 토머스 쿨리(뉴욕대) 교수, 칼 와인버그(미국 경제연구소 하이 프리컨시 이코노믹스 수석경제학자) 등의 분석을 인용해 유럽 경제가 ‘잃어버린 10년’ 위험에 직면해 있는 것이 아니라 이미 진입했다는 분석이 설득력을 얻고 있다고 16일 보도했다.\n\n루퍼트, 쿨리 교수는 NYT와 인터뷰에서 “공식적 경제수치로는 유럽 전체의 경기침체(recession)가 아직 시작되지 않았다고 할 수 있지만 인적 자본(humancapital)의 급락이란 차원에서 볼 때는 이미 유럽이 ‘잃어버린 10년’으로 불리는 시기로 들어섰다고 봐야 할 것”이라고 말했다. 두 사람은 구체적으로 교육 및 연구 투자 급락, 경제활동 침체, 청년실업 등 심각한 실업률 등을 꼽았다.\n\n또 독일을 제외한 유럽 주요국들의 경제가 서브프라임모기지(비우량주택담보대출) 사태가 발생하기 이전인 2008년 초 수준을 회복하지 못한 상태라고 지적했다. 와인버그 역시 “유로존(유로화 사용 17개국)이 1990년대 일본의 길을 걷고 있다”면서 “일본이 부실금융 문제를 해결하는 데 실패하면서 10년간의 장기침체를 겪었던 것처럼 유럽도 비슷한 전철을 밟게 될 것”이라고 지적했다. 루크레지아 라이슐린 런던정경대(LSE) 교수는 유럽의 ‘잃어버린 10년’을 넘어서서 아예 ‘잃어버린 세대’ 가능성을 제기하기도 했다.\n\n유럽이 일본형 ‘잃어버린 10년’을 겪게 될 것이란 전망은 지난해부터 경제학자들이 본격적으로 제기해 왔다. 지난 2월 조지 소로스는 “유럽이 잃어버린 10년에 직면해 있다”고 경고했다. 폴 크루그먼은 파이낸셜타임스(FT)에 기고한 글에서 “유럽이 1990년대 일본보다 더 대응을 하지 못하고 있다”면서 “일본을 비판했던 데 대해 일왕에게 사과라도 해야 할 판”이라고 비판해 파장을 일으켰다.\n\n경기침체란 2분기 연속 경제성장률이 마이너스를 나타내는 경우를 가리킨다. 유럽연합(EU) 통계청은 지난 14일 2분기 국내총생산(GDP) 경제성장률을 -0.2%로 발표했다. 1분기 성장률이 0%였던 만큼 경기침체는 겨우 면한 셈이다. 공식 수치상으로 볼 때 유로존의 경우 2009년 2분기 이후 경기침체를 기록한 적이 없다. NYT는 유럽이 ‘기술적’인 측면에서는 아직 경기침체가 아니지만 실업률, 산업생산율, 투자 등으로만 명확히 경제 상황을 진단할 수 없다는 데 대다수 경제학자들이 동의하고 있다고 지적했다.\n\n오애리 선임기자 aeri@munhwa.com']"
9,2017-12-15,"아이리버, 음향 모듈 '테라톤' 출시... ""디지털 기기에 탑재시 하이파이 구현...","[""아이리버 하이파이 오디오 브랜드 아스텔앤컨이 음향 모듈 '테라톤'을 15일 출시했다. 아스텔앤컨은 2012년 아이리버가 론칭한 하이파이 오디오 브랜드다."", ""'테라톤'은 모바일 기기, 홈 오디오 시스템, 컴퓨터, 카 오디오에 부착 가능한 음향 모듈이다.\n\n테라톤이라는 브랜드 명은 10조를 뜻하는 테라(Tera)와 아스텔앤컨의 'A', 음색을 뜻하는 '톤(Tone)'을 합쳐 '다양하고 방대한 음의 세계'라는 의미를 완성했다.\n\n디지털 기기에 테라톤 모듈 탑재시 24비트(bit) 이상의 고음질 음원뿐 아니라 하이파이 음원도 재생할 수 있다.\n\n테라톤은 최상급 하이파이 음질 구현을 위해 디지털-아날로그 변환기(댁, DAC와 초소형 아날로그 앰프, 전원부, 클럭 장치까지 하나의 초소형 모듈로 구성했다. 아스탤앤컨안의 고도화된 튜닝 기술로 구성 부품간 최고의 시너지를 발휘했다.\n\n테라톤의 첫 번째 기종은 포터블 오디오용 모듈 'TM200'으로, 그루버스 저팬이 내달 출시 예정인 포터블 하이 레스 오디오 ACTIVO CT10 제품에 최초로 탑재된다.\n\n이정호 아이리버 대표는 “테라톤은 아스텔앤컨의 사운드 기술에 대한 자부심을 바탕으로 탄생한 솔루션”이라면서 “일상 속 디지털 기기의 음질을 고가의 하이파이 오디오 수준으로 업그레이드할 수 있는 방안이 될 것”이라고 밝혔다.\n\n함지현기자 goham@etnews.com""]"
