,date,title,contents
0,2021-07-29,한국정보방송통신대연합 신임 회장에 노준형 전 정통부 장관,"['▲신임 노준형 한국정보방송통신대연합(ICT대연합) 제5대 회장\n[서울=뉴시스] 이진영 기자 = 한국정보방송통신대연합(ICT대연합)은 제5대 회장에 노준형(67) 전 정보통신부 장관이 선임됐다고 29일 밝혔다.\n\n전임 이계철 회장이 일신상의 사유로 중도 사임한 데 따른 보선으로 노 회장의 임기는 내달 1일부터 오는 2023년 3월까지다.\n\n노 회장은 행정고시 21회로 경제기획원을 거쳐 1994년부터 정보통신부에서 근무를 시작해 기획관리실장, 차관, 장관의 임무를 수행했다. 민간분야에서는 제9대 서울과학기술대학교 총장을 역임했다.\n\n노 회장은 인터넷서비스 보급 초기에 초고속망구축사업단에서 근무하면서 초고속정보통신망을 성공적으로 구축해 현재 대한민국이 인터넷강국으로 성장할 수 있는 기반을 마련하는 데 기여했다는 평가를 받고 있다.\n\n연합회는 노 회장이 정보통신인들의 역량을 모아 ICT 혁신과 국가발전에 기여할 적임자로 기대하고 있다.\n\n노 회장은 ""ICT대연합이 ICT인의 소통 증진과 전문분야별 사회적 역할 확대, 미래 ICT 산업에 대한 준비와 사회적 갈등 완화, 첨단 ICT 산업의 생태계 발전에 기여해야 한다""며 ""이를 실행해 나가기 위해 ICT대연합 회원사, 정부 관계자, 정보통신 원로 등 각 분야의 다양한 전문가들과 교류하고 협력해 나가겠다""고 말했다.\n\n\n◎공감언론 뉴시스 mint@newsis.com', '▲신임 노준형 한국정보방송통신대연합(ICT대연합) 제5대 회장']"
1,2021-08-13,"마포구, 미래를 여는 청소년 정책포럼 '미래 열음' 개최","[""[아시아경제 박종일 기자] 마포구(구청장 유동균)가 마포혁신교육지구사업 일환으로 미래를 여는 청소년 정책포럼 '미래 열음'을 14일 오후 2시 온라인으로 개최한다."", '지난 2016년 첫 스타트를 끊은 후 올해로 6번째를 맞는 ‘청소년 정책포럼’은 구립마포청소년문화의집(관장 정진희) 주관으로 진행된다.', '청소년 정책포럼은 마포구 청소년들의 요구를 분석하고 이를 반영한 청소년 정책 운영 및 정책 발전 방향 등에 대해 논의하는 공론장이다.', '올해는 ‘마포구 청소년 현재와 미래를 담다’라는 주제로 전문가와 청소년 간 자유롭게 소통하며 청소년의 생생한 목소리를 담아낼 계획이다.', '정책포럼은 코로나19 사회적 거리두기 지침에 따라 온라인 플랫폼 줌(zoom)과 유튜브를 통해 생중계하는 방식으로 진행, 누구나 참여할 수 있다. 단, 줌(zoom)은 사전 신청한 100명만 참여 가능하다.', '포럼 개최에 앞서 구는 지난 5월20일부터 약 한 달 동안 지역 내 청소년 3300여명을 대상으로 청소년의 실태 및 욕구를 파악하는 ‘2021 마포구 청소년 요구조사’를 실시했다.', '이번 포럼에서는 해당 조사 결과를 토대로 전영욱 한국방송통신대 교수 외활동/봉사/진로/복지 등 각 분야의 전문가들이 청소년의 현 실태를 논하고 청소년이 건강하게 성장할 수 있는 환경 조성을 위한 정책과 발전 방향 등을 제안하게 된다.', '14일 개최되는 포럼에는 마포혁신교육지구 실무협의회 대표위원도 참석하는 만큼 구는 혁신교육지구에 대한 청소년 의견도 함께 나누는 우리마을 교육 토론회와 연계해 추진한다는 구상이다.', '발제자로 참여하는 김재원(18) 마포구 청소년참여위원회 위원장은 “깊이 있는 정책 포럼을 위해 한 달이 넘게 청소년 정책을 공부하고 토의하고 있다. 많은 청소년이 함께 참여해 다양한 생각과 의견을 내주길 바란다”며 기대감을 보였다.', '구는 포럼에서 나온 의견들을 전 부서와 공유하고 향후 정책 수립과 사업 추진 시 해당 내용이 적극적으로 반영될 수 있도록 지원할 방침, 혁신교육지구 운영에도 관련 사항을 활용할 계획이다.', '유동균 마포구청장은 “코로나19 장기화로 청소년들의 활동이 위축된 상황에 청소년들이 목소리를 낼 수 있고 주체적으로 정책에 참여할 수 있는 소통의 장을 마련하게 돼 기쁘다”며 “포럼에서 제시된 다양한 의견을 앞으로 구의 청소년 정책과 사업에 반영해 나가겠다”라고 말했다.', '기타 자세한 사항은 구립마포청소년문화의집 청소년사업팀으로 문의하면 안내받을 수 있다.', '<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제(www.asiae.co.kr) 무단전재 배포금지>']"
2,2021-08-11,"충남교육청, 최병금 신임 감사관 임명","['충남교육청 최병금 감사관.© 뉴스1\n\n충남교육청은 9월 1일자로 신임 개방형직위 감사관에 최병금 (전)충남교육청해양수련원장을 임명했다.\n\n충남교육청 개방형 감사관(3급 상당 부이사관)에 다섯 번째로 임명되는 신임 최 감사관은 앞으로 2년 동안 감사계획 수립 및 조정‧처리 등 감사 업무 전반을 총괄하게 된다.\n\n최 감사관은 1980년 공직에 입문해 부여교육지원청 행정과장, 노사협력팀장, 총무과장, 해양수련원장 등 다양한 보직을 거치면서 예산‧회계와 감사 분야에서 능력을 인정받았다.\n\n충남 홍성고 출신인 최 감사관은 한국방송통신대학교 행정학과를 졸업하고 교육행정 공무원의 조직몰입 강화 사업, 무궁화 사랑 운동 정책 지원, 고객이 만족하는 민원 서비스 개선사업 등을 주도적으로 펼쳤다.\n\n최 감사관은 “앞으로 조직문화 개선과 함께 투명한 교육행정의 정착, 청렴한 충남교육 정착에 최선을 다하겠다”고 각오를 밝혔다.\n\n김지철 충남교육감은 “신임 감사관은 탁월했던 공직 경험을 되살려 충남교육을 혁신하고 정의로운 공직사회를 구현하는데 적임자라고 생각한다”며 “공정하고 깨끗한 충남교육 발전에 큰 역할을 할 것으로 기대한다”고 말했다.\n\n이번 감사관 공개모집에는 3명이 지원했고 내부 서류심사와 면접시험을 통해 최종 합격자를 결정했다.\n\n\nchg5630@news1.kr']"
