,date,title,contents
0,2021-08-13,"WHO ""말라리아 약물, 코로나19 효과 검사 중""…국내 2호 치료제는 어디?","['셀트리온의 코로나19 치료제 렉키로나(사진=뉴시스)\n[핀포인트뉴스 백청운 기자] 세계보건기구(WHO)는 11일(현지시간) 다른 질병에 사용되는 약물 3개가 신종 코로나바이러스 감염증(코로나19) 환자에게 도움이 되는지 검사할 예정이라고 밝혔다.\n\n세 가지 약물은 말라리아 치료제인 알테수네이트(Artesunate), 특정 유형의 암을 치료하는 데 사용되는 이매티닙(Imatinib), 면역 체계 질병 치료에 사용되는 인플릭시맵(Infliximab)이다.\n\n이들 약물은 독립적인 전문가 패널로부터 입원 중인 코로나19 환자의 사망 위험을 감소할 가능성을 인정받아 선정됐다고 WHO는 설명했다.\n앞서 WHO는 렘데시비르와 하이드록시클로로퀸 등 4개 약물을 평가했으나 코로나19 입원 환자에게 별다른 효과가 없는 것으로 나타났다고 밝힌 바 있다.\n\n신풍제약은 코로나19 치료제로 개발 중인 ‘피라맥스’의 국내 임상 2상 시험에서 주평가지표의 통계적 유의성을 확보하지 못했다고 지난달 5일 밝혔다.\n\n신풍제약은 피라맥스 유효성을 평가하고자 ‘코로나19 바이러스가 음성으로 전환된 환자의 비율’(음전율)을 일차평가변수로 설정했다.\n\n하지만 피라맥스 투여군(52명)과 대조군(58명)에서 음전율에 차이가 없어 일차평가변수 목표치를 달성하지 못했다.\n\n다만 신풍제약은 일부 지표에서 피라맥스가 코로나19 바이러스를 억제하고 중증으로 악화하는 비율을 낮출 가능성을 보였다며 후속 임상을 계속하기로 했다. 안전성 측면에서는 피라맥스에 별다른 문제가 없었다. 피라맥스는 항말라리아 치료제다.\n\n정부도 코로나19 치료제 개발에 힘쓰고 있다.\n\n질병관리청 산하 국립보건연구원이 델타 변이 바이러스를 포함한 다양한 코로나19 변이 바이러스를 방지할 수 있는 \'광범위 항체치료제\'를 개발 중이다.\n\n권준욱 중앙방역대책본부(방대본) 제2부본부장(국립보건연구원장)은 지난달 2일 오후 청주 오송 질병관리청에서 브리핑을 통해 ""다양한 변이바이러스에 대해 광범위 효능을 갖는 치료제를 개발하고 있다""고 밝혔다.\n\n권 원장은 이날 ""델타형 변이바이러스에 대한 국산 항체치료제 효능 평가를 위한 동물실험을 진행 중""이라며 ""델타형 변이주에 감염된 실험용 쥐에 항체치료제를 투여하고 이에 따른 치사율 및 바이러스 검출 양상 등을 분석하고 있다""고 전했다.\n\n그는 ""변이바이러스에 대한 효능 분석 및 국내외 치료제를 개발 동향 모니터링을 지속적으로 수행할 계획""이라고 말했다.\n\n13일 기준 식품의약품안전처로부터 임상승인을 받은 코로나19 치료제는 14품목이다.\n\n부광약품의 클레부딘, 크리스탈지노믹스의 카모스타트, 대웅제약의 카모스타트와 니클로사미드, 제넥신의 GX-I7, 셀트리온 CT-P59, 한국엠에스디 MK-4482, 뉴젠테라퓨틱스의 나파모스타트, 동화약품의 DW2008S, 이뮨메드의 hsVSF-v13, 녹십자웰빙의 라이넥주, 종근당의 CKD-314, 글락소스미스클라인의 VIR-7831, 한국유나이티드제약의 UI303이 그 대상이다.\n\n이 외에도 진원생명과학은 북마케도니아 보건당국에서 경구용(먹는 약) 코로나19 치료제 후보물질 \'GLS-1027\'의 임상 2상 시험계획을 승인받았고, 현대바이오는 유영제약과 코로나19의 경구치료제 CP-COV03의 위수탁 제조 및 제조를 위한 제형개발 계약을 대주주인 씨앤팜과 3자 공동으로 진행했다.\n\n신풍제약은 코로나19 치료제 피라맥스의 국내 임상 2상 시험 결과 발표를 앞두고 있다.\n\n또 길리어드사이언스코리아의 렘데시비르와 셀트리온의 렉키로나주는 이미 식약처로부터 허가완료를 받았다.\n\n지난 1일 0시 기준으로 코로나19 치료제인 렘데시비르(베클루리주)는 128개 병원 8621명의 환자에게 투여됐다. 국산 1호 항체치료제인 레그단비맙(렉키로나주)는 82개 병원 5529명에게 투여됐다.\n\n혈장치료제의 경우 임상시험 목적 이외의 치료 목적으로 총 47건이 식품의약품안전처 승인을 받아 사용 중이다.\n\n백청운 기자 a01091278901@thekpm.com\n\n[알림] 본 기사는 투자판단의 참고용이며, 이를 근거로 한 투자손실에 대한 책임은 없습니다.']"
1,2017-08-23,"한국엠에스디동물약품, 서울스퀘어로 사무실 이전","['한국엠에스디동물약품(대표 임광혁)이 최근 본사를 서울 마포구에서 중구에 위치한 서울스퀘어빌딩으로 이전했다고 23일 밝혔다.\n\n임광혁 한국엠에스디동물약품 대표(사진 왼쪽 4번째)가 본사 이전식에서 임직원들과 기념 촬영을 하고 있다/사진제공=한국엠에스디동물약품\n이번 사무실 이전을 통해 한국엠에스디동물약품은 본사와 마찬가지로 스마트오피스를 콘셉트로 삼았다. 업체에 따르면 지정 좌석이 아닌 유연좌석제를 운영하며 부서 간 협력 증대와 소통 문화를 강조했다.\n\n한국엠에스디동물약품 관계자는 ""한국엠에스디 인체의약품과 공유하는 구내식당이나 도서관 등을 직원들이 자유롭게 일할 수 있는 곳으로 만들었다""며 ""이번 사무실 이전을 제2의 도약으로 삼아 애완동물과 가축의 여러 질병을 효과적으로 치료해 고객에게 신뢰받는 동물약품 기업이 될 것""이라 말했다.\n\n또한 회사 측은 ""이전 첫날에 임직원들이 모여 케이크 커팅식과 식사 자리를 가졌다""며 ""새로운 곳에서 한 단계 성장하고 발전하겠다는 다짐의 시간이었다""고 말했다.']"
2,2018-03-28,"한국엠에스디 스토크린정, 'C형간염 치료제 병용금지' 허가사항 일부 변경","['[뉴스웍스=고종관기자] 식품의약품안전처는 HIV치료제로 처방되는 에파비렌즈(성분명)에 대해 만성C형간염 치료제인 엘바스비르 및 그라조프레비르와 병용하지 말라는 일부 허가사항 변경을 지시했다.', '식약처는 이 약을 동시에 투여를 하면 바이러스학적 반응을 감소시킬 수 있다고 지적했다.', '이번에 허가사항 변경 대상은 한국엠에스디의 ‘스토크린정 600mg’ (사진) 1개 품목이다.', '엘바스비르와 그라조프레비르는 한국엠에스디가 제파티어라는 상품명으로 지난해 3월부터 출시해 팔고 있다.']"
3,2018-03-28,"한국엠에스디 스토크린정, 'C형간염 치료제 병용금지' 허가사항 일부 변경","['[뉴스웍스=고종관기자] 식품의약품안전처는 HIV치료제로 처방되는 에파비렌즈(성분명)에 대해 만성C형간염 치료제인 엘바스비르 및 그라조프레비르와 병용하지 말라는 일부 허가사항 변경을 지시했다.', '식약처는 이 약을 동시에 투여를 하면 바이러스학적 반응을 감소시킬 수 있다고 지적했다.', '이번에 허가사항 변경 대상은 한국엠에스디의 ‘스토크린정 600mg’ (사진) 1개 품목이다.', '엘바스비르와 그라조프레비르는 한국엠에스디가 제파티어라는 상품명으로 지난해 3월부터 출시해 팔고 있다.']"
4,2016-10-31,"길재소프트·동천·한국엠에스디동물약품·피닉스테크닉스, 굿컴퍼니대상 수상","[""머니투데이가 주최하는 '2016 대한민국 굿컴퍼니대상 시상식'이 31일 오후 서울 중구 프레스센터에서 열렸다. 이번 행사에서 길재소프트(대표 이상림)와 동천(대표 박한호), 한국엠에스디동물약품(대표 임광혁), 피닉스테크닉스(대표 김현봉)가 기술혁신 부문 굿컴퍼니대상을 수상했다.\n\n김형진 길재소프트 연구소장(오른쪽)이 굿컴퍼니대상을 수상한 뒤 윤병훈 머니투데이 상무와 기념 촬영을 하고 있다/사진=중기협력팀 오지훈 기자\n길재소프트는 세계 최초로 VR(가상현실) 기술을 융합, 초음파 의료 영상 진단 장비 ‘VR피터스’를 개발한 스타트업이다. 지난 9월 본격 출시한 뒤 50대 이상이 판매·설치됐으며, 러시아 호주 등으로의 해외 수출도 앞두고 있다.\n\n박한호 동천 대표(오른쪽)가 굿컴퍼니대상을 받은 뒤 윤병훈 머니투데이 상무와 기념 촬영 중이다/사진=중기협력팀 오지훈 기자\n동천은 우레탄·EPS·메탈 패널 등 동종 업계 대비 다양한 제품군을 생산하는 건축 패널 전문 업체다. 최근에는 이탈리아 OMS사와 고속 우레탄 설비 도입 계약을 맺고, 국내 수요의 70%이상을 커버할 수 있는 생산 시스템을 구축 중이다. 일본 몽골 미국 필리핀 등 해외 시장에도 진출해 업계 강자로 부상했다.\n\n김종주 한국엠에스디동물약품 상무(오른쪽)가 굿컴퍼니대상을 받고 윤병훈 머니투데이 상무와 기념사진을 찍고 있다/사진=중기협력팀 오지훈 기자\n글로벌 제약사 MSD의 계열사인 한국엠에스디동물약품은 동물용 의약품 전문 회사다. 뛰어난 R&D(연구·개발) 성과와 혁신 제품을 바탕으로 해마다 꾸준한 성장 곡선을 그리고 있다. 써코바이러스·가금티푸스 등 축산 관련 주요 질병을 치료하면서 우수한 백신과 치료제 등을 제공 중이다.\n\n피닉스테크닉스 김현봉 대표(오른쪽)가 굿컴퍼니대상을 수상한 뒤 윤병훈 머니투데이 상무와 기념 촬영을 하고 있다/사진=중기협력팀 오지훈 기자\n피닉스테크닉스는 플랜트 전기설비에 대한 감시·진단 장비를 생산하는 업체다. 30여년간 국내외 플랜트 산업에서 안정적으로 전력을 공급하면서 원전을 운용해 신뢰성을 인증받고 있다.""]"
5,2014-11-28,"의약품 소비자들, '불법 리베이트' 한국엠에스디 상대 손배소송 패소","['불법 리베이트를 통해 의약품을 납품하던 제약회사를 상대로 의약품 소비자들이 손해배상청구소송을 냈으나 패소했다.', ""서울중앙지법 민사합의22부(재판장 박형준 부장판사)는 28일 의약품인 '칸시다스주', '코자' 등을 처방받아 복용한 이모씨와 박모씨가 한국엠에스디를 상대로 낸 손해배상 청구소송에서 원고패소 판결했다."", '재판부는 ""한국엠에스디가 리베이트 제공을 통해 사회적 비용 증가 등 불합리한 문제를 야기한 사실은 인정된다""고 밝혔다.', '재판부는 그러나 ""손해배상을 청구하는 민사소송에서는 어떠한 법률적 손해가 있었다고 판단해야 하는데, 이씨 등은 리베이트로 인해 의약품 가격이 어느정도 인상됐는지, 가격형성과 리베이트 간에 어떤 인과관계가 있는지에 관해 구체적인 증명을 하지 못했다""고 덧붙였다.', '한국엠에스디가 제조, 판매하는 의약품인 칸시다스주, 코자 등을 처방받아 복용한 이씨 등은 ""제약시장에서 공정한 경쟁이 이뤄졌다면, 한국엠에스디가 병원에 리베이트를 주는 대신 그 리베이트에 해당하는 금액만큼 약제 가격을 인하했을 것""이라고 주장하며 ""1인당 10만원씩을 배상하라""는 소송을 냈다.', '한국엠에스디는 2009년 공정거래위원회로부터 ""자사 제품의 처방유도를 목적으로 병원에 자문료와 강연료, 회식비 등의 명목으로 리베이트를 제공했다""며 36억3800만원의 과징금을 부과받았다.']"
6,2021-07-31,"""빨리 개발되는 약 구매"", 코로나 치료제 추경예산 확보…업체별 개발 현황은","['사진=뉴시스\n[핀포인트뉴스=김예슬 기자] 정부가 추가경정예산(추경) 편성을 통해 코로나19 경구용 치료제 확보에 나섰다. 방역당국은 지난 24일 국회 본회의를 통과한 2차 추경을 통해 코로나19 치료제 구입비 471억원을 확보했다. 이 중 경구용 치료제 구매 168억원, 중증 치료제 248억원, 경·중등증 치료제 55억원이다.\n\n해외 혹은 국내 개발 치료제 모두에 구매 가능성을 열어둔 정부는 효능·안전성만 담보된다면 가장 빨리 개발되는 약을 구매하겠다는 입장이다.\n\n특히 경증~중등증 환자들이 복용할 수 있는 경구용 치료제 개발은 백신과 함께 코로나19를 극복할 핵심무기로 주목받는다. 비교적 초기 증상의 환자가 입원 없이 간편하게 복용할 수 있어서다. 신종 플루 유행 당시 먹는 치료제 \'타미플루\'가 등장해 백신과 함께 이겨낸 것과 유사한 상황을 재현할 수 있다는 기대감이 작용한다.\n현재 미국 MSD는 경구용 치료제 \'몰누피라비르\'의 임상 3상에 가장 먼저 진입하며 앞서 있다. 몰누피라비르는 코로나19를 일으키는 여러 RNA 바이러스의 복제를 억제하는 경구용 항바이러스 후보물질이다. 바이러스의 RNA에 삽입돼 바이러스 복제 과정에 오류를 일으켜 바이러스가 제 기능을 발휘하지 못한 채 죽게 만든다.\n\n회사는 외래 환자(경증~중등증) 1500명을 대상으로 진행 중인 임상 3상을 이르면 오는 10~11월 종료하고 연내 미국 FDA에 긴급사용승인 신청하는 것을 목표로 하고 있다. 앞서 미국 정부는 이 약 12억 달러(한화 약 1조3000억원) 상당을 선구매했다. 국내 정부 역시 선구매 여부를 놓고 MSD와 논의해왔다.\n\n미국 화이자 역시 올 4분기 중 임상 결과 도출을 전망했다. 최근 실적보고에서 경구용 코로나19 치료 후보 \'PF-07321332\'가 입원 치료를 받지 않는 고위험군 성인 환자 대상 임상 2·3상에 들어갔다고 밝혔다. 4분기에 결과가 나올 것으로 예상했다.\n\nPF-07321332는 프로테아제라고 불리는 효소를 억제해 바이러스가 인체 내 세포에서 자기복제를 하지 못하도록 막는 역할을 한다. 프로테아제 억제제는 에이즈를 일으키는 HIV 바이러스나 C형간염 치료에도 사용되고 있다.\n\n이 밖에 일본 제약회사 시오노기가 하루 한 알씩 먹는 코로나19 치료체 임상시험에 돌입한 것으로 알려졌다.\n\n국내에서도 경구용으로 개발 중인 코로나 치료제가 있다. 대웅제약은 먹는 코로나19 경증 치료제로 개발 중인 ‘코비블록’(성분명 카모스타트 메실레이트)의 임상 2b상을 최근 마쳤다. 코비블록은 \'호이스타\'라는 이름으로 10여 년간 처방된 췌장염 치료제다. 사람 몸 안에 들어온 바이러스의 세포 내 진입을 막아 바이러스 증식을 억제하고 염증을 개선한다.\n\n또 부광약품은 간염치료제로 개발됐던 항바이러스제 ‘레보비르’를 코로나19 경증~중등증 치료제로 개발하기 위해 연구를 진행 중이다. 신풍제약의 경우 최근 말라리아 치료제 ‘피라맥스’를 경증~중등증 코로나19 치료제로 개발하기 위한 임상 2상을 진행했다.\n\n코에 뿌리거나 흡입하는 형태의 코로나19 치료제 개발도 여러 업체에서 진행되고 있다. 일부 업체들은 코에 뿌려 코로나19 감염을 사전에 예방하는 약도 개발 중이다.\n\n한국유나이티드제약은 최근 흡입형 코로나19 치료제 \'UI030\'의 임상 2상을 승인받았다. 이 약은 천식 치료제로 개발 중이던 제품으로 항염증 작용과 기관지 확장 작용을 해 코로나19 환자의 증상을 개선할 수 있는 것으로 기대되고 있다. 동물 실험에서는 항바이러스 효과가 확인됐다.\n\n진원생명과학은 축농증 치료 후보물질이던 \'GLS-1200\'을 코로나19 감염 억제 약으로 개발 중이다. 6시간마다 코에 뿌리는 스프레이 형태로 개발한다. 지난 5월 미국에서 임상 2상 승인을 받았다.\n\n신풍제약은 \'피라맥스\'(피로나리딘·알테수네이트)의 2상 탑라인 결과 바이러스의 음성 전환율은 대조군과 차이 없었지만 바이러스 억제 효과에 대한 근거와 임상지표의 개선 가능성을 확인했다고 봤다.\n\n현대바이오는 지난달 유영제약과 코로나19 경구용 치료제 후보물질 위수탁 제조 및 제조를 위한 제형 개발 계약을 체결했다.\n\n현재 국내에서는 셀트리온, 제넥신, 종근당, 대웅제약, 부광약품, 신풍제약 등 14개 업체가 식약처의 승인을 받아 임상시험을 진행 중이다.\n\n자세히 살펴보면 부광약품의 클레부딘, 크리스탈지노믹스의 카모스타트, 대웅제약의 카모스타트와 니클로사미드, 제넥신의 GX-I7, 셀트리온 CT-P59, 한국엠에스디 MK-4482, 뉴젠테라퓨틱스의 나파모스타트, 동화약품의 DW2008S, 이뮨메드의 hsVSF-v13, 녹십자웰빙의 라이넥주, 종근당의 CKD-314, 글락소스미스클라인의 VIR-7831, 한국유나이티드제약의 UI303이 그 대상이다.\n\n이 외에도 진원생명과학은 북마케도니아 보건당국에서 경구용(먹는 약) 코로나19 치료제 후보물질 \'GLS-1027\'의 임상 2상 시험계획을 승인받았고, 현대바이오는 유영제약과 코로나19의 경구치료제 CP-COV03의 위수탁 제조 및 제조를 위한 제형개발 계약을 대주주인 씨앤팜과 3자 공동으로 진행했다.\n\n이 중 셀트리온과 대웅제약, 종근당 등이 임상 3상에 진입한 상태다.\n\n유주헌 코로나19 치료제·백신 개발 범정부지원위원회 사무국 총괄팀장은 ""백신 접종이 높은 국가들에서도 확진자가 수만 명씩 나오고 있다""며 ""치료제는 백신과 함께 반드시 필요한 영역이다""고 말했다.\n\n이어 ""가장 중요한 건 누가 가장 빨리 개발해내느냐, 즉 속도와 효능이다""며 ""감염 위험 상태에 계속 노출시킬 순 없기에 가장 빠르게 효능·안전성을 입증해 개발된 약이 (구매의) 우선이 될 것이다. 입원 없이 생활치료센터 환자에 간편하게 투여할 수 있는 경구제는 꼭 필요하다""고 강조했다.\n\n김예슬 기자 combineadnew@thekpm.com\n\n[알림] 본 기사는 투자판단의 참고용이며, 이를 근거로 한 투자손실에 대한 책임은 없습니다.']"
7,2007-06-25,"엠에스디, 로타바이러스 백신 '로타텍' 국내허가","[""한국 엠에스디는 25일 영아의 로타바이러스 위장관염 예방 백신인 '로타텍?'이 식품의약품안전청에서 국내 시판 허가를 받아 본격적인 판매준비에 들어갔다고 밝혔다. 식약청은 로타텍의 효능 및 효과를 '영아에서 G1, G2, G3, G4, G9P1A[8] 혈청형 로타바이러스에 의한 위장관염 예방'으로 허가했다.\n\n'로타텍'은 액체 형태의 경구용 백신으로 사용이 간편하며, 빠르면 생후 6주의 신생아부터 접종이 가능하다. 3차에 걸쳐 투여하며, 1차 투여는 생후 6~12주에 하고 이후 4주내지 10주 간격을 두고 투여한다. 최종 투여는 생후 32주 이내에 이뤄져야 한다.\n\n엠에스디는 미국에서 7만명 이상의 영아를 대상으로 실시된 임상시험 결과, 중증 로타바이러스 위장관염을 98%까지 예방하는 것으로 나타났다고 전했다. 또 G1-G4 혈청형에 의해 유발된 사례에서는 74%까지 예방효과가 있었다고 덧붙였다.\n\n엠에스디는 로타텍이 출시 후 주문, 유통, 재고관리 등 고객 서비스 전반은 SK케미칼이 담당하게 된다고 밝혔다. SK케미칼은 지난 4월 한국엠에스디와 백신 영 마케팅에 대한 전략적 제휴를 맺은 바 있다.\n\n로타바이러스는 전 세계적으로 5세 미만의 소아에서 심각한 설사를 일으키는 가장 흔한 원인으로 알려져 있다. 엠에스디에 따르면 매년 2400만명의 5세 미만 소아가 로타바이러스 감염으로 병원을 찾고 있으며 60만명은 생명을 잃고 있다.\n\n한편 '로타텍'은 지난 2006년 2월 미국 식품의약국(FDA) 허가를 받았다. 현재 전세계 60여개국의 판매 허가를 받았으며 호주에서는 기본접종에 포함돼 있다.""]"
8,2007-01-16,"한국엠에스디, 로타바이러스 웹사이트 개설","['한국 엠에스디는 의료 전문인들에게 로타바이러스(rotavirus)에 대한 최신뉴스와 정보를 제공하기 위해 로타바이러스 웹사이트 (www.rotavirus.co.kr)를 개설했다고 16일 밝혔다.\n\n로타바이러스는 장염 바이러스 중 영유아 장염의 가장 흔한 원인이 되는 바이러스로, 현재 국내에는 치료약은 없고 백신이 최선의 예방책이다.\n\n로타바이러스 웹사이트 내에는 로타바이러스의 전파 경로, 이환율 및 사망률, 로타바이러스 감염의 증상 및 치료에 대한 내용과 함께 로타바이러스 감염으로 인한 합병증, 관련 역학 자료, 흔한 로타바이러스 혈청형, 로타바이러스 감염 치료를 위한 의료 비용에 대한 정보 등이 수록돼 있다.']"
9,2021-07-18,"델타에 람다, 속출하는 변이…치료제 돌파구 될까","['셀트리온의 코로나19 항체치료제 렉키로나\n[핀포인트뉴스=김예슬 기자] 코로나19 변이 바이러스가 빠른 속도로 확산되고 확진자가 연일 최고치를 넘어서면서 방역 당국과 의료계의 고심도 깊어지고 있다.\n\n당초 코로나19 방역의 핵심 요소는 백신이라는 인식이 강했지만 다양한 변이로 인한 백신 무력화 우려가 커지자 치료제 개발의 중요성이 재부각되고 있는 상황이다.\n\n15일 식품의약품안전처에 따르면 김강립 식약처장은 전날 셀트리온, 종근당, 대웅제약, 신풍제약 등 국내 코로나19 치료제 개발업체들과 간담회를 열고 개발 현황을 공유했다. 업체들의 애로·건의 사항을 청취하고 정부 지원이 필요한 사항에 대해 논의하는 자리였다.\n김 처장은 이 자리에서 ""모든 가능한 행정력과 재원을 동원해 코로나19 치료제를 신속하게 개발할 수 있는 환경을 마련하기 위해 지원할 것""이라며 ""업계에서도 최대한 모든 역량을 집중해 치료제 개발과 연구에 박차를 가해달라""고 당부했다.\n\n지금까지 코로나19 문제 해결을 위해 가장 중요한 요소는 백신으로 여겨졌다. 치료제의 중요성을 상대적으로 덜 부각됐다. 이에 따라 화이자, 모더나, 아스트라제네카 등 주요 제약·바이오 기업들의 백신이 속속 개발되는 상황에서 \'게임 체인저\'라고 불릴만한 치료제는 나오지 않는 상황이었다.\n\n하지만 코로나19 바이러스가 변이를 거듭하면서 우리나라 뿐만 아니라 국제사회에서도 치료제의 중요성에 주목하고 있다. 예방접종을 하고도 코로나19에 감염되는 \'돌파감염\' 사례가 속출하고 있어 백신 만으로는 충분치 않다는 인식이 커지고 있기 때문이다.\n\n중앙방역대책본부(중대본)에 따르면 국내 예방접종 완료자 416만 7322명 가운데 돌파 감염 추정 사례는 지금까지 252명이 확인됐다. 얀센이 143명, 화이자가 59명, 아스트라제네카가 50명으로 집계됐다.\n\n또 현재 빠른 속도로 확산하고 있는 \'델타 변이\'의 경우 기존 백신이 어느 정도 효과를 발휘하는 것으로 알려져 있지만 중남미를 중심으로 확산 중인 \'람다 변이\'의 경우 백신으로 얻은 면역을 회피할 수 있다는 가능성도 제기되고 있는 상황이다.\n\n치명률이 높지는 않지만 전파력이 기존 바이러스에 비해 높은 변이의 특성도 치료제의 필요성을 부각시키는 부분이다. 최근 코로나19 확산 상황을 보면 많은 확진자가 나오고 있지만 중증 환자 비율은 높지 않은 편이다. 이 때문에 적기에 치료제를 사용해 경증에서 중증으로 악화되는 것을 방지하면 입원 환자 폭증으로 인한 의료 시스템의 과부하를 막을 수 있다.\n\n치료제의 경우 백신보다 임상시험 부담이 덜하고 기존에 개발했던 물질을 활용할 수도 있어 상대적으로 규모가 작은 국내 제약·바이오 업체들도 도전해볼만 하다는 평가도 있다.\n\n현재 국제적으로 코로나19 치료 목적으로 공식 승인된 약은 렘데시비르 정도가 유일하다. 하지만 렘데시비르 조차도 치료 효과가 크지 않아 \'게임 체인저\'가 되기에는 무리라는 게 중론이다.\n\n국내에서는 셀트리온의 항체치료제 \'렉키로나\'가 지난 2월 식약처로부터 조건부 허가를 받아 \'국산 1호 치료제\'로 이름을 올렸다. 하지만 렉키로나는 60세 이상이거나 당뇨병·고혈압 등 기저질환이 있어 고위험군에 해당하는 경증-중등증 환자에게만 투여되고 적용 범위가 좁다.\n\n정부는 선진국들의 백신 독점 사례를 참고해 치료제의 국내 개발에도 힘을 쏟고 있다.\n\n식약처는 ▲치료제 개발 관련 안내서 마련·공유 ▲임상시험 설계 지원과 정보 공유 ▲중앙임상시험심사위원회 제도화 ▲신속허가 또는 긴급사용승인 등 코로나19 치료제의 신속한 개발을 위해 제품화 전 주기에 걸친 지원을 하고 있다고 소개했다.\n\n현재 국내에서는 셀트리온, 제넥신, 종근당, 대웅제약, 부광약품, 신풍제약 등 14개 업체가 식약처의 승인을 받아 임상시험을 진행 중이다.\n\n자세히 살펴보면 부광약품의 클레부딘, 크리스탈지노믹스의 카모스타트, 대웅제약의 카모스타트와 니클로사미드, 제넥신의 GX-I7, 셀트리온 CT-P59, 한국엠에스디 MK-4482, 뉴젠테라퓨틱스의 나파모스타트, 동화약품의 DW2008S, 이뮨메드의 hsVSF-v13, 녹십자웰빙의 라이넥주, 종근당의 CKD-314, 글락소스미스클라인의 VIR-7831, 한국유나이티드제약의 UI303이 그 대상이다.\n\n이 외에도 진원생명과학은 북마케도니아 보건당국에서 경구용(먹는 약) 코로나19 치료제 후보물질 \'GLS-1027\'의 임상 2상 시험계획을 승인받았고, 현대바이오는 유영제약과 코로나19의 경구치료제 CP-COV03의 위수탁 제조 및 제조를 위한 제형개발 계약을 대주주인 씨앤팜과 3자 공동으로 진행했다.\n\n이 중 셀트리온과 대웅제약, 종근당 등이 임상 3상에 진입한 상태다.\n\n국내에서도 경구용으로 개발 중인 코로나 치료제가 있다. 대웅제약은 먹는 코로나19 경증 치료제로 개발 중인 ‘코비블록’(성분명 카모스타트 메실레이트)의 임상 2b상을 최근 마쳤다. 코비블록은 \'호이스타\'라는 이름으로 10여 년간 처방된 췌장염 치료제다. 사람 몸 안에 들어온 바이러스의 세포 내 진입을 막아 바이러스 증식을 억제하고 염증을 개선한다.\n\n또 부광약품은 간염치료제로 개발됐던 항바이러스제 ‘레보비르’를 코로나19 경증~중등증 치료제로 개발하기 위해 연구를 진행 중이다. 신풍제약의 경우 최근 말라리아 치료제 ‘피라맥스’를 경증~중등증 코로나19 치료제로 개발하기 위한 임상 2상을 진행했다.\n\n코에 뿌리거나 흡입하는 형태의 코로나19 치료제 개발도 여러 업체에서 진행되고 있다. 일부 업체들은 코에 뿌려 코로나19 감염을 사전에 예방하는 약도 개발 중이다.\n\n한국유나이티드제약은 최근 흡입형 코로나19 치료제 \'UI030\'의 임상 2상을 승인받았다. 이 약은 천식 치료제로 개발 중이던 제품으로 항염증 작용과 기관지 확장 작용을 해 코로나19 환자의 증상을 개선할 수 있는 것으로 기대되고 있다. 동물 실험에서는 항바이러스 효과가 확인됐다.\n\n진원생명과학은 축농증 치료 후보물질이던 \'GLS-1200\'을 코로나19 감염 억제 약으로 개발 중이다. 6시간마다 코에 뿌리는 스프레이 형태로 개발한다. 지난 5월 미국에서 임상 2상 승인을 받았다.\n\n한편 이날 주식시장에서 제약·바이오 종목 중 이연제약, 우정바이오, 우리바이오, 휴마시스, 씨젠, 셀트리온, 셀트리온헬스케어, 신풍제약, 아미노로직스, SK바이오사이언스, 환인제약, 휴온스글로벌, 네오이뮨텍, 화일약품, 에이프로젠제약, 에이비프로바이오 등이 거래량 상위 종목에 이름을 올렸다.\n\n이어 SK바이오팜, SK바이오로직스, 삼성바이오로직스, 프레스티지바이오로직스, 휴온스, 유유제약, 휴메딕스, 켐온, 휴메딕스, 디알젬, 엑세스바이오, 휴마시스, 클리노믹스, 보령제약, 일양약품, 대웅, 대웅제약 등이 뒤를 이었다.\n\n김예슬 기자 combineadnew@thekpm.com']"
